Debora Tescaroli;30 de abril de 2019;As vezez da alguns erros na hora dr acessa a conta;2;2;
Marcelo Borges;7 de setembro de 2019;Me ajuda bastante a me políciar nas compras.;4;5;
Junio Santos Estevao;1 de outubro de 2019;Um horror, detestei;2;3;
Um usuário do Google;14 de março de 2019;Péssimo. Login por digital não funciona, extrato após a compra não funciona, pagar fatura pelo próprio APP Bradesco não funciona.;1;3;
Afonso Monteiro;22 de maio de 2019;pode ser mais informativo;1;5;
fabiana Silva;10 de fevereiro de 2019;Boa noite! até uns dias atrás conseguia acessa minha fatura, agora mesmo colocando a senha correta fui bloqueada dizia senha incorreta arrumem isso por favor.;3;4;
Márcia Cristina de Souza;20 de setembro de 2019;Me ajuda muito para eu acompanhar as minhas compras;4;5;
MARCELO Bittencourt;8 de março de 2019;inútil, péssimo, assim como o resto do banco,;2;3;
Tiago Pereira;2 de outubro de 2019;Falta a opção de bloqueio temporário. Opção que os cartões da Caixa e Nubank têm. Estou deixando de fazer compras online com este cartão por falta dessa função de bloqueio.;1;5;
Rubinom Batera;10 de junho de 2019;tem que colocar no App já a opção que aumenta limite. ficará muito mais rápido e prático;1;5;
Alan Andrade;28 de agosto de 2019;Até o momento estou bem satisfeito!;4;1;
Caroline Oliveira;21 de julho de 2019;app é bom, porém quando o cartão é utilizado não envia o local que passou via sms;1;5;
Adriano Santos;11 de setembro de 2019;Muito fácil de visualizar. Ótimo;4;1;
gilcemar rodrigues;10 de setembro de 2019;App muito bom ficou tudo mais fácil.;4;1;
Um usuário do Google;2 de dezembro de 2018;Como faço pra mim ver outros cartões se so dar pra ver um;3;4;
Leandro Gomes dos Santos;21 de maio de 2019;So fala que a conexao nao e segura em compensaçao semana passada tava funcionando normal.;1;4;
Jonatas Maxwell Nogueira;1 de maio de 2019;poderia ter a opção para antecipar pagamento de compras parceladas;1;5;
Ana paula Gomes;25 de julho de 2019;muito bom gostei bastante;4;1;
Mauricio Fernandes;21 de maio de 2019;Estou tendo poblemas com meu app, pois quando tento iniciar o app, aparece uma mensagem dizendo que a rede não é segura, isso na rede wif e rede móvel, e ele fecha sozinho.;1;2;
glauco pontes;27 de julho de 2019;O aplicativo fala do gráfico de gastos e não contém o mesmo. após resposta do desenvolvedor continua informando que o App tem gráfico o que é enganoso.;1;3;
Fernanda Santos;22 de maio de 2019;porque o app está dando erro e eu nao consigo entrar ? Aparece que o app não é seguro;1;2;
Valdinei Jose;16 de junho de 2019;muito bom perfeito eu comfio;4;1;
Thay Roberta;10 de fevereiro de 2019;como faço pra enviar o boleto para o meu e-mail?;3;4;
Abia Fernanda;29 de março de 2019;péssima, não aparece os gastos na hora demora muito, e acabo não tenho noção dos meus gastos diários.;1;3;
Cleri Vania;8 de agosto de 2019;tirei todas as minhas dúvidas, estou satisfeita.;4;1;
Lilia Oliveira da Silva Oliveira da Silva;13 de agosto de 2019;Amei, muito prático consigo resolver tudo.;4;1;
Vanessa Saboia Zappia;25 de junho de 2019;fácil e rápido.;4;1;
Jefim Barbeiro04;28 de abril de 2019;ótimo app! pra um gralzinho melhor, falta enviar notificação de copra via sms no momento que ela acontece.;1;5;
william Almeida;23 de julho de 2019;muito bom facilita nosso acesso bom..........demais!;4;1;
Samsung1 SER;23 de agosto de 2019;Muito bom me ajuda bastante;4;1;
marcelo felix pereira;10 de outubro de 2019;Muito simples para acessar;4;5;
Luciana Marques;22 de julho de 2019;Gosto bastante do aplicativo.;4;1;
mariainez areas;16 de setembro de 2019;Mostrou com clareza o que busquei;4;1;
Weberson Santos;2 de maio de 2019;Muito bom, mas poderia ter a opção de solicitar segunda via do cartão.;1;1;
iza souza;29 de junho de 2019;Não estou conseguindo fazer o cadastro o aplicativo ruim;2;2;
Vanilson soeiro;10 de setembro de 2019;Muito bom mais seguro gostei de mais;4;1;
Ana Rosa Amorim Pezati;4 de outubro de 2019;Tá de parabéns;4;1;
Karen Albuquerque;7 de outubro de 2019;Gosto de tudo;4;1;
Edson Damique;12 de agosto de 2019;atende as minhas expectativas eu utilzo apenas para consultar o extra to de compras e limites do cartão.;4;5;
Aliomar De Jesus Gomes;26 de julho de 2019;App muito bom, porém deixa a desejar na parte de reconhecimento de Biometria que não reconhece.;1;2;
Daniel Ferreira;20 de dezembro de 2018;Bom dia! queria deixar minha insatisfação com esse aplicativo ruim péssimo, tentei de varias formas usar, entrei em contato com a area responsável, porém sem sucesso, o aplicativo nao da inflamaçoes do detalhamento de compras e quando eu vinculo a minha conta corrente ai que ele nao pega mesmo, voce…;2;3;
Erlan Mario Ayala;12 de junho de 2019;aplicativo bom...facilita a nossa vida;4;1;
Anderson Luiz;11 de maio de 2019;muito bom recomendo;4;1;
Robson George;9 de agosto de 2019;muito fraco detalhamento da fatura;1;2;
Leticia Lima;1 de maio de 2019;Péssimo! Você faz o pagamento da fatura, vem atualizar dias depois, alguns atendentes pelo telefone são péssimos também! Você tem que lembrar o que comprou, ficar sempre atualizando o APLICATIVO! pra ver se consta lá como pago. E não mostra o juros, caso você atrase no pagamento, e juros altíssimos …;2;3;
Santos Santos;23 de julho de 2019;nao consigo ver minha fatura detalhada;2;5;
Julliana Anselmo;25 de julho de 2019;tem alguns bugs mas msm assim é mt bom;4;1;
Euderlan Almeida;12 de agosto de 2019;Se pra cadastrar ja e horrível, imagina usar o app;2;3;
Carlos Ribeiro;28 de julho de 2019;Boa mas trava de vez em quanto.;4;5;
sidnei constantino da silva constantino;12 de junho de 2019;gostei muito rápido e prático!!;4;1;
Luzia Solidade;13 de julho de 2019;Eu gosto muito só acho que sai muito o aplicativo!;4;4;
Leone Andrade;27 de maio de 2019;Dei uma estrela porque não funcionou no meu celular fala que eu não tenho uma conexão estável com o Bradesco e o aplicativo simplesmente fecha,por isso não gostei;2;2;
Gabriel Lima;18 de fevereiro de 2019;Aplicativo hiper confuso. Estão precisando de uma consultoria em UX.;1;3;
Andreza Gonçalves;20 de junho de 2019;gostei. Simples e prático;4;1;
Um usuário do Google;29 de outubro de 2018;Ultima atualização foi péssima deixou de funcionar, a dias que não consigo ver minhas compras.;2;2;
Um usuário do Google;22 de fevereiro de 2019;esse aplicativo e lixo coloco a senha e o número do cartão e não dar certo;2;3;
Valéria Castelo Branco;4 de junho de 2019;Esse aplicativo é ótimo e não trava, acompanho tudo por ele, até aqui estou satisfeita, super indico.;4;1;
Andreza Rayanne;17 de janeiro de 2019;faz 6 dia que não consigo acessar meus dois cartões pelo aplicativo. ligo pra vcs que me prometem resolver o problema mais e só enrolação. hj faz 6 dias e nada de vcs resolverem meu problema.;2;2;
Paulo Lima;9 de maio de 2019;gostei esta mais melhor;4;1;
Marcio Lopes;28 de julho de 2019;otimo aplicativo perfeito;4;1;
Maicon Costa;2 de julho de 2019;velho, nao to conseguindo fzr o cadastro do meu cartao que fiz na c&a;2;4;
Um usuário do Google;29 de setembro de 2019;Muito bom e prático;4;
Igor Antunes;16 de junho de 2019;nao consigo entrar sempre dando erro;2;
Gabriel Bento Ladeia;26 de setembro de 2019;Ruim, não foi possível completar o cadastro. Não tem nada de gráficos como mostra na propaganda do app.;2;
Marcelo Farias;11 de maio de 2019;Muito confuso, pouco claro;2;
Ray Nato;18 de setembro de 2019;Não consigo desbloquear o cartão pelo aplicativo e nem por telefone, anuidade do cartão é muito cara não tem nenhum beneficio.;2;
Eliane A.B;27 de junho de 2019;quando voce baixa o aplicativo ,pede sua senha de uso ...isso não é seguro ...desisti poderia pedir um pin,não sua senha pessoal;1;
ubirani leal;20 de julho de 2019;tem travado com frequência;2;
simone Duarte;15 de janeiro de 2019;Nao consigo atualizar meu aplicativo. E nem acessar mais. Pq?;3;
Glaucilene Lima;8 de maio de 2019;E muito bom esse aplicativo;4;
junio juninho;11 de outubro de 2019;Precisa melhorar mais o aplicativo!;2;
Luíz Carneiro;13 de maio de 2019;rápido e objetivo;4;
Ana Beatriz Amorim Bento;15 de maio de 2019;No começo era otimo, mas de ontem pra ca n consigo acessar. Quando eu tento chega uma mensagem "Ops sua segurança com Bradesco não é seguro por isso iremos encerrar o aplicativo;2;
Nilcicley Souza;13 de abril de 2019;como eu faço para adicionar mais de um cartão pelo app;3;
Anderson Maxmiano;9 de outubro de 2018;Minha opinião sobre essa app não e das melhores pq já tentei várias vezes acessar o app mais não pega não sei oque está acontecendo mais espero que eles resolvam o problema 😡😡😡;2;
[AB] Gullar Jp;7 de abril de 2019;Eu troquei minha senha agora não entra mais. Insatisfeito 😒;2;
Peta Martins;29 de julho de 2019;o aplicativo muito bom só trava algumas veses mas e bom agora deveria melhora mas;2;
MOISES QUEIROZ;11 de dezembro de 2018;Na tela de pagamentos não está aparecendo o código de barras, todo mês perco muito tempo ligando pra central.;2;
Nielson Varela;25 de agosto de 2019;Atende as necessidades e é bem pratico;4;
adriel soares;8 de outubro de 2018;Por favor me ajudem, quero ver meu extrato/fatura completo, mas não consigo por que meus cartões estão débito automático;3;
romilson diniz;15 de abril de 2019;tenho duas conta no bradesco. mais não consigo conectar os dois no app;2;
Gleicy Batista;2 de outubro de 2018;Horrível, não consigo acessar meu cartão.;2;
Jocilene Venâncio Martins;25 de julho de 2019;aplicativo bom mais podia atualiza as informações no dia pra fica mais fácil;2;
Juliana Santanna;8 de julho de 2019;me atende no que preciso;4;
Cremon J. C.;20 de agosto de 2019;Não permite pedir outro cartão quando atual está próximo do vencimento.;2;
Elisandro Muck;10 de fevereiro de 2019;Olá Bradesco, adicionem opção de visualizar cartão cancelado nesse app assim como tem a opção no Internet Banking, pois facilita para copiar os códigos dos boletos para pagamento das faturas.;1;
IVANILDA ALVES;11 de setembro de 2019;Não consigo cadastrar meu cartão,;3;
Um usuário do Google;9 de novembro de 2018;Este AP não funciona,chega na tela de cadastro ele travo e não sai disso mais ,a dias estou tentando cadastrar meu cartão e não consigo.;2;
Elaine farias;15 de novembro de 2018;Não sei o que pode tá acontecendo mais não consigo entrar na minha conta do App to toda enrplaca por issó e contudo Muito chateada... prefiro a versão anterior essa só esta causando problemas eu tenho internet e diz que está sem internet...;2;
vanderlei rafaicho;6 de junho de 2019;gostaria de obter um cartão mas não tive resposta;2;
elane souza;19 de novembro de 2018;Este aplicativo é horrível nunca funciona. Absurdo poderem um sérvio q n funciona.;2;
Flaviane Cintia;23 de maio de 2019;prático e fácil de usar. consigo acompanhar minhas despesas através do app.;4;
Alex Quina;22 de maio de 2019;Falta a opção de notificação a cada compra;1;
Julian Araújo;6 de julho de 2019;POR FAVOR, RESOLVAM ISSO, JA VI OUTROS COMENTÁRIOS AQUI COM O MESMO PROBLEMA QUE O MEU, SEMPRE QUE TENTO CADASTRAR MEU CARTÃO NO APP, APARECE UMA MENSAGEM COM OS DADOS INCORRETOS E EU COLOCO TODOS OS DADOS CERTOS!! SOLTEM IMA ATUALIZAÇÃO , RESOLVAM ISSO,PRECISO USAR O APLICATIVO!!!!!;2;
Mayanne Sherllock;12 de fevereiro de 2019;Estou aq desde 9:40 da mnha ligando n cetral de atendimente para mim darem informacoes sobre a mnh fatura pq desde d onten n consigo acessar os detalhamentos d fatura n app,e pior pediram para q mim Desinstalasse o aplicativo pois o problema poderia ser n versao antiga d app,pois atulizei o app,e ag…;2;
Everton Dos Anjos;11 de julho de 2019;muito funcional, e ágil;4;
Eduarda Hübner Müller;10 de maio de 2019;Eu só tenho 01 cartão, gostaria que ele entrasse logo na fatura deste, sem que primeiro tivesse que entrar em perfis e escolher.;1;
Celso Castro;6 de outubro de 2018;Uma droga! Uso o cartão da CeA somente para compras na loja e não tenho a função crédito, não uso crédito. O App só habilita para consultas se inserir a senha, mas não tenho senha pq não habilitei a função crédito. Assim, não tenho como utilizar!;2;
Fernando Arismendi;15 de junho de 2019;Não estou mais recebendo a fatura digital há uns 3 meses! Esta foi minha opção de recebimento e, sem minha interferência, isto está acontecendo.;3;
maria Miranda;21 de julho de 2019;Muito bom esse aplicativo;4;
Ruth Barbara;9 de julho de 2019;A um tempo não tenho conseguido entrar no aplicativo fica aparecendo que a "conexão não é segura" e o apliacativo fecha, já fiz várias coisas mais nada adianta.;3;
Natali Santos da Costa;4 de maio de 2019;aparece a mensagem serviço indisponivel o tempo todo.;2;
Shirley Rocha;5 de outubro de 2019;Não gostei antes poderíamos ter acesso a três cartões crédito do Bradesco agora só pega um.;2;
Fernando Lemos;15 de maio de 2019;Não estou conseguindo acessar o App. Aparece uma mensagem dizendo que a conexão não é segura. Preciso pagar conta!;2;
Vagner De Oliveira Do Vale Vale;19 de maio de 2019;excelente muito bom;4;
Joel Video;27 de agosto de 2019;Gostei muito ótimo app;4;
Aline Rezende;13 de maio de 2019;bom de usar;4;
Marcia Fernandes;11 de julho de 2019;e bom nao tenho nada a falar no momento;4;
carlos humberto;14 de julho de 2019;Excelente App. Ágil e direto ao ponto. Ainda tenho dificuldades no processo de pgto da fatura e não processa rápido o desconto.;2;
Francisco José Feijão;12 de setembro de 2019;Muito bom Gostei bastante;4;
Thamiris Liberato;31 de maio de 2019;poderia mostrar as coisas que compramos e seu devido valor;1;
fabio silveira;2 de maio de 2019;Péssimo app, só aparece "acesso bloqueado" dizendo que acabaram as minhas tentativas de acesso. O app já não era grandes coisas, pois o mesmo não mostrava no extrato compras feitas em tempo real, só 48h depois, e após esta ultima atualização ficou pior ainda.;2;
Um usuário do Google;1 de maio de 2019;Gostaria d saber pq a fatura do mês d Abril foi paga. E ñ consta q foi pago no mês d Maio. Tá constando q foi pago na fatura do mês d Junho. E o limite ñ voltou.;3;
julio norwal;8 de setembro de 2019;Horrível diz que o número do meu cartão esta errado ja difitei mais de 10 vezes😠😤😤😤;2;
