Cristiano;26 de outubro de 2022;Aplicativo péssimo. Apenas para consulta. Todo mês o mesmo sofrimento. A fatura não chega pelos correios e tenho que ficar entrando em contato com gerente para fornecer código de barras. Já estou deixando de utilizar muitos serviços desse banco. Nada e pratico. Tudo depende de gerente. (A boa vontade) aplicativo arcaico. Só estresse. Já nem uso esse cartão mais para não passar raiva e cancelar logo. Assim que terminar de pagar todas as faturas, vou bloquear Não indico para ninguém.
ana ninha;7 de novembro de 2022;Não consigo abri o aplicativo e já faz dias coloco a senha não gera o código já tentei várias vezes com a chave de segurança e até agora nada e outra coisa tem que ir até o banco pra pegar a fatura poderia ser muito mais fácil se desse pra pegar pelo aplicativo e paga por ele mais nem isso não facilita
Daniela Ferreira Marra;29 de outubro de 2022;Está com bug!!! não consigo desbloquear o cartão, já instalei, desinstalei..... Toda vez que vou desbloquear, ele volta pra tela inicial pedindo a chave de segurança e na segunda tentativa da erro, (BUG). DIFÍCIL ASSIM 😞
Paulo Cesar Aguiar Filho;14 de julho de 2022;App muito ruim, não serve pra nada, não é possível exportar a fatura (dá erro), não existe a opção de gerar o código de barras para pagamento, no fim tem que ligar na central e esperar horas. App totalmente dispensável!
Michele Dias;28 de setembro de 2022;Como o app teve atualização, tentei usar novamente mas o problema continua o mesmo. Mesmo meu cadastro estando atualizado, continua dando erro de cadastro...
Mary Tasca;22 de agosto de 2022;Péssimo, só presta msm pra tirar memória do meu celular, pq não consigo gerar código de barras pra efetuar o pagamento e toda hora que vc precisa voltar o app por algum motivo, precisa ficar colocando código enviado por SMS que enche minha caixa de msg tirando mais memoria do meu celular. No mínimo tinha que gerar o código de barras pra pagamento , todo mês preciso ficar mandando msg pra gerente pedindo pra não pagar juros pq pelos correios atrasa e eu acabo pagando juros.
Guilherme Nasseh;10 de outubro de 2022;O aplicativo simplesmente não funciona. Demora para abrir e quando abre qualquer funcionalidade trava o app.
Vitoria Carla;7 de setembro de 2022;Aplicativo ruim, só serve para consulta de limite do cartão, a fatura não chegou na minha casa e infelizmente está desgastante tentar pegar 2° via, pois o app não fornece, liguei no fale fácil e a atendente disse que teria que ser no app, sendo assim minha fatura está correndo juros pelo péssimo atendimento bancário.
rodrigues rodrigues de araujo;22 de outubro de 2022;Não consigo entrar no aplicativo e vê minha fatura do cartão Amex ja liguei pra central e não resolveram nada mandaram eu desinstalar o aplicativo a instalar digo-vos mas continua a mesma coisa
Maylon Carvalho;22 de outubro de 2022;Para ser ruim tem que melhorar, nao tem nem onde pagar a fatura do cartão, app inútil.
Hilton Carpanez;23 de outubro de 2022;Sempre quando tento abrir a fatura o app da erro e quando volto pede para acessar o login novamente.
Anderson Silva;20 de setembro de 2022;Não é possível baixar a fatura para pagamento, isso é inédito, cartão empresarial e preciso correr atrás para conseguir pagar.
reginaldo andrade;21 de maio de 2022;Péssimo, você coloca todas informações de de cadastro e ele informa q está desatualizado, vc liga pro 0800 do banco, e depois pro cartão de crédito e depois pro suporte técnico do aplicativo, falam que o cadastro ta atualizado mas o erro do aplicativo continua e por isso não funciona, eles passam quase 1 hora te transferindo um pro outro mas ninguém resolve nada.
Antonella Guarnieri;14 de julho de 2022;Aparentemente não sou a única insatisfeita. Não vejo uma avaliação positiva. Extremamente inútil. Não consegue fazer nada neste app. Nem sequer pagar uma fatura. Arcaico demais!
Rafael Valêncio Barbosa;6 de julho de 2022;Além de ter que entrar no outro app do Bradesco para pegar a chave se segurança o aplicativo fecha se vc tenta entrar em qualquer campo disponível. Ele só te mostra a página principal com um geral dos valores. Mas vc não consegue entrar em fatura ou qualquer outro campo. Diz que tem que aguardar o desenvolvedor atualizar o app pra vc atualizar uma nova versão, pois esse tem bug.
W Bennet (Airless Brasil);31 de agosto de 2022;Horrivel, até o Nubank que começou ontem, tem melhor aplicativo que este. Lamentável não conseguir acompanhar a fatura do cartão.
Alcilene silva;6 de setembro de 2022;APP horrivel! Fica toda hora saindo do APP e tenho q ficar entrando e não consigo ver nada pq fica fechando...difícil hein
Íkaro Vasconcelos;4 de agosto de 2022;Péssimo app tentei de várias formas pra fazer login e não consegui, liguei duas vezes para central e ninguém resolve isso.
Marcelo Borges;3 de junho de 2020;Boa noite! Instalei o app, em um aparelho Ipad S.O IOS, quando executa o aplicativo, reporta solicitando atualização de headers, ao clicar em atualizar, o processo não evolui a tela permanece travada solicitando, atualizar este cabeçalho HTTP. Realizei a instalação no S.O Android e o processo fluiu normalmente. Seria alguma incompatibilidade com o IOS do Ipad?
