Fernando Bade;24 de outubro de 2019;Muito ruim. Cobra R$9,70 pra transferir saldo pra conta da mesma titularidade no próprio Bradesco. Não é aceito em nenhum lugar online e pra recarregar é terrível também.;
Grupo Navegador;3 de outubro de 2018;o aplicativo NÃO abre;
Sergio luis Silva lima;11 de junho de 2018;Baxei o App e preenchi todos os meus dados mais na hora de finalizar aparece uma mensagem dizendo que deu erro ao criar o meu cadastro e tente mais tarde. Gostaria de saber se vocês poderiam me ajudar nessa questão.;
Eduardo Santos;14 de julho de 2019;Estou tentando cria uma conta mais sempre aparece cadastro com dados invalidos!! Alguém pode me ajuda?;
Mayrla Silva;3 de julho de 2019;ótimo;
Airton Chagas;28 de julho de 2019;Muito bom;
anderson ferreira da silva;20 de maio de 2019;muito pratico seguro simples;
Um usuário do Google;22 de setembro de 2018;Horror, não consigo finalizar meu cadastro, chega no final não dá pra marcar o termo de conduta. E não dá pra finalizar. Péssimo, não consigo ver meu saldo péssimo;
Vera Souza Benjamin;6 de setembro de 2019;HORRÍVEL, A GENTE FAZ O CADASTRO E QUANDO TERMINA.FICA DANDO DADOS INVÁLIDOS. AI NUNCA FINALIZA;
Leandro Santtos;20 de junho de 2018;O App não funciona direito.. não consigo fazer o download do boleto.. Complicado.. Onde colocar ou comprar crédito?;
NICK OLIVER;21 de junho de 2018;Nao recebi meu codigo por sms ...nao consigo acessar minha conta;
Daniel Gomes;3 de abril de 2019;gosto do app mas está pesado no login. demora demais.;
Edrey Silva;27 de agosto de 2019;Muito bom;
Lorena Morais Silva;2 de dezembro de 2018;Baixei aplicativo antes mesmo do cartão chegar que demorou muito. O cartão todas as vez que tem que tranferir tenho que digitar mesmo colocando ele como cadastrado, no internet, fone fácil, bia, não sabem responder que o meu limite no celular é 300,00 e no internet é 1,00 como fazer para aumentar? N…;
SISTEMA TV7;7 de julho de 2018;Legal;
ʀ ᴏ ᴅ ʀ ɪ ɢ ᴏ ɴ ᴜ ɴ ᴇ ꜱ;6 de janeiro de 2019;Quando termino o meu cadastro, da a seguinte mensagem: ERRO DE COMUNICAÇÃO. Tente novamente mais tarde.(01GWS0446) E é isso toda vez que vou terminar de preencher o que pedi para solicitar o cartão.;
Kelly Sabrina Nascimento Silva;15 de janeiro de 2019;ja tem mais de 10 dias, e ainda nao chegou meu cartao.;
Um usuário do Google;20 de junho de 2018;Não funciona este aplicativo ele não faz cadastro aos criadores tem que fazer pelo menos funciona.;
jackson luiz;6 de novembro de 2018;Não consigo ligar para o central de atendimento para desbloquear e cadastrar a senha;
Ciane Souza;18 de junho de 2019;muito bom esse Apple;
Um usuário do Google;1 de novembro de 2018;Como todo o sistema de internet banking do Bradesco, UM LIXO... Apresenta "erro de comunicação" insistentemente.;
Um usuário do Google;14 de março de 2019;muito bacana;
Andriele Gaia;18 de agosto de 2019;depois que atualizei nao consigo entrar mais no aplicativo.. Nao recebo a Senha por SMS.. e nao consigo entrar mais no aplicativo.;
Um usuário do Google;8 de agosto de 2018;Bradesco deveria unificar o app com o app Bradesco de acesso a conta, assim como e feito pára buscar a chave de segurança e na execusão do app na aba cartões.;
José Roque;11 de outubro de 2019;Ótimo aplicativo do Bradesco. Excelente parabéns ao Banco Bradesco.;
VANDERLEI CARNETTI;29 de agosto de 2018;É vergonhoso ver uma instituição desse porte não conseguir nem criar um app descente, e olha que vcs poderia copiar as funções do banco Next, e também incluir a função de recarregar o cartão por boleto, dentro do app, vou sugerir que vcs deem uma olhada no app opa! Cartões pré-pago, olhem com atençã…;
Cícero Reinaldo;15 de março de 2019;BOM (30);
Jefferson Soares;1 de julho de 2018;Não recebo o SMS para confirmação. Já solicitei o reenvio várias vezes, mas, nada!;
Marina Rodrigues de Carvalho;26 de setembro de 2019;Foi FACIL PEDIR CARTAO;
mauro crispimn;14 de outubro de 2018;Pura enganacao;
Elias Antonio;11 de março de 2019;bom;
cicero luiz dos santos barbosa barbosa;15 de março de 2019;Ate o app funcionar;
Um usuário do Google;9 de dezembro de 2018;Após o pagamento quanto tempo pra chegada do cartão?;
Mariajose Assunção;8 de abril de 2019;bom;
Que a minha fé, seja maior que as minhas fraquezas;16 de abril de 2019;muito agradável!;
Wesley Cesar;22 de junho de 2018;Aparece sessão expirada toda hora orrivel de entrar , cai toda hora e nem sempre entra no app;
Vanderlei Adriano Carneiro;12 de maio de 2019;ja tenho minha conta bradesco din, mas não sei o numero da conta, liquei para central de atindimento bradesco din e me informaram que o numero seria o que esta na frente do cartão, mas tentei fazer um deposito no atendimento bradesco expresso mas não foi possivel, sera que alquem poderia me ajudar n…;
Henrique Tavares;26 de junho de 2019;bom;
Gustavo Matoso;21 de junho de 2018;Fiz o pagamento de 9,90 e até agora não constou no app que o boleto foi pago. PS: já fazem quase 2 dias q efetuei o pagamento e os 9,90 foram descontados da minha conta corrente normalmente;
Levi Dos Santos Florentino;3 de abril de 2019;muito bom ótimo exelente;
