Paulo Henrique;28 de novembro de 2018;Estou tendo problemas a dias com o sistema de pagamento , o aplicativo abre o leitor de código de barras e buga na tela não reconhece o código e não deixa ir pra opção de digitar o código .tive vários transtornos e terei que ir ao banco pagar contas sem poder usar a funcionalidade do app;
eliesio alves;22 de outubro de 2019;excelente. Um aplicativo muito seguro e pratico, se pode realizar muitas coisas através dele.;
André Rocha;13 de julho de 2019;Comprei um celular novo e fui ativar a chave de segurança nele. Há quatro opções, sendo uma a ativação pelo Fone Fácil. Ao ligar para o fone fácil e seguir as intruções, me é orientado ir a um caixa eletrônico! Porque há a opção de ativar por telefone então? Já ativei minha chave de segurança por te…;
mauro Carvalho;30 de outubro de 2019;Realmente é difícil. Quando atualiza não presta. É o que aconteceu agora comigo.;
Marcos Chamblas;29 de março de 2019;falta melhorar muito....;
Um usuário do Google;5 de novembro de 2018;O app é muito inferior ao dos outros bancos (Itaú e NuBank, por exemplo) e é quase tão burocrático quanto ir a uma agência física. Além de não ajudar/facilitar as operações, ainda atrapalha. Há muitas travas, informações confusas, a leitura é complexa etc.. De longe, é o pior app bancário que já uti…;
Fabio Bernardo;27 de setembro de 2018;E otmo tem tudo que preciso aqui no app..;
GilmarCleiton RaulinoGomes;27 de maio de 2019;seguro de se manuziar a app conta exclusive;
Jailson Moreira;12 de novembro de 2018;Está com problema na chave de segurança.;
Jesiel Rangel;9 de julho de 2019;O app fica mostrando a mensagem que não reconheceu o software instalado no aparelho, raras vezes consigo acessar a conta e executar transações.;
Genilson Tenorio;5 de outubro de 2019;Muito bom parabéns 👏👏👏;
Eduardo Albuquerque;15 de outubro de 2018;Cumpre algumas necessidades minhas.;
Um usuário do Google;12 de dezembro de 2018;Pesem canal para falar om gerente, navegação ruim;
Um usuário do Google;11 de fevereiro de 2019;ótimo facilita muito a vida dos clientes;
Elias dutra Souza;24 de junho de 2019;Muito bom eu indico a todos;
Marilia de Jesus Ribeiro;29 de junho de 2019;Extratos sempre à mão, satisfeita.;
Reginaldo Costa Oliveira;22 de julho de 2019;muito bom aplicativo eu recomendo.;
Sandra Kreischer Bandeira;13 de dezembro de 2018;Algumas ações não são possíveis no app, como por exemplo, liberar transferência e não há a possibilidade de ligar direto para o fone fácil Bradesco;
Daniel pereira;10 de janeiro de 2019;aplicativo está travando...grande dificuldade para efetuar login...péssimo;
Reinaldojosedossantos35 Santos;8 de abril de 2019;ótimo facilita minha vida...!;
Alber Costa;25 de outubro de 2019;App muito bom.;
Cleber Ruiz;24 de julho de 2019;fácil de usar...execelente;
Willames Dias;23 de outubro de 2019;COMPLETO!! FIQUEI SURPREENDIDO COM OPÇÕES E INTERAÇÃO COM O BANCO. INDICO...PODE INSTALAR. WILLAMES...CLIENTE.;
Carlos G.Cordeiro de Santana;27 de junho de 2019;otimo aplicativo. um banco completo! o item "emprestimo consignado" nunca funciona no aplicativo. sugestao: deve fazer o emprestimo consignado. mostrar sua margem de consignado. mostrar os emprestimos ja consedidos ao cliente. qdo houver uma portabilidade mostrar o andamento da mesma. etc;
Um usuário do Google;25 de março de 2019;Muito bom, bastante funcional;
ivomar lemos;28 de agosto de 2019;E muito bom e pratico este app evita enfrentar fias aos bancos;
Aline Xavier Leite;23 de novembro de 2018;Está travando muito mais agora ! Horrível;
Itamar Vital;18 de outubro de 2018;Para algumas operações diz que não é necessário internet e que não utiliza seu pacote de dados. Mas aí de vc se sua conexão for compartilhada com mais pessoas...Para fazer uma transferência quase desisto e vou ao caixa eletrônico.;
Marcelo B. Guimarães;7 de julho de 2019;Depósito de cheque vida app deveria ser padrão para todos.;
Silvio Rogério;20 de setembro de 2018;Prático e útil. Muito bom!;
Elian Junior;10 de abril de 2019;utilizava bastante o App porem de 1 mês pra cá tem travado muito e toda vez que vou tentar fazer um pagamento ele lê o código de barras mas volta pra tela inicial;
wesley novaes;24 de novembro de 2018;Preciso de dinheiro;
ELMAR PINTO DA FONSECA;20 de setembro de 2019;É o Banco com praticamente todos os serviços à sua mão. Sem filas, sem esperas, nada. Uso há dois anos com segurança e estabilidade, tanto o PJ como o PF. Muito bom.;
joana Braga;20 de setembro de 2019;Muito bom concigo resolver as contas poraqui muito obrigado Bradesco;
Carlos de Melo Alcântara;3 de outubro de 2018;O aplicativo deveria ajudar, mas atrapalha, impõe limite para pagamento de boleto, mas ele mesmo fornece o código para pagar via internet banking;
Cleide Oliveira;9 de outubro de 2019;Muito boa por enquanto;
Um usuário do Google;24 de setembro de 2018;Ótimo e fácil;
Silvia Soares;11 de novembro de 2018;Meu app travou. Tive que desinstalar. A praticidade foi embora. Terei que me submeter aos caixas eletrônicos.;
MARCO CRUZ;21 de novembro de 2018;Ao modo o banco Bradesco e um dos mais ruins de trabalhar nunca indicaria para ninguém. TFA:.Marco Aurélio;
Ana Lucia Dantas;9 de abril de 2019;muito bom até agora .;
Um usuário do Google;30 de novembro de 2018;Ótimo app, facilitou muito o meu cotidiano;
Lourival Fabem Filho;5 de novembro de 2018;Um bom aplicativo, muito útil.;
ALVINHO DANET;18 de setembro de 2018;Tem que melhorar no que tange a desinstalação e reinstalação. Um método onde não teria que ir na agência para instalar o itoken;
Edmundo Monteiro;16 de abril de 2019;prático e eficiente...;
Um usuário do Google;16 de fevereiro de 2019;facilita muito nosso dia a dia;
Um usuário do Google;24 de outubro de 2018;To gostando muito deste aplicativo;
Galiani Matta;5 de abril de 2019;a confirmação de pagamentos é burocrática;
Roque Vinhas;9 de novembro de 2018;Muito bom minha ajuda bastante no dia a dia;
Peterson! Faria;2 de abril de 2019;ótimo app, super funcional!;
Adriana Araujo;15 de julho de 2019;Trava o tempo todo. Arrependimento é a palavra que descreve minha opção pelo Bradesco.;
Lizandra Benedetto;12 de julho de 2019;Eu gosto bastante deste aplicativo!!Utilizo bastante, e sempre me supriu as necessidades.;
Vladmir;11 de junho de 2019;Minha melhor escolha de app bancario.;
Marciel Schicorski;4 de agosto de 2019;Excelente. Este foi o banco onde recebi o melhor atendimento até hj, estou muito satisfeito com a transferência.;
Reumacir Carvalho;11 de novembro de 2018;É conveniente com tudo que oferece;
robsonconconi;27 de setembro de 2019;Até agora estou satisfeito;
Bruno Zanoni;7 de outubro de 2019;App ótimo, me ajuda muito.;
luiz henrique cardoso costa;6 de novembro de 2018;O Bradesco exclusive é show!!!;
Fernanda kids Garcia;9 de julho de 2019;tudo bem perfeito, aqui tiramos todas as dúvidas e ficamos atualizados;
Vinicius Barbosa Silva;27 de setembro de 2018;Muito bom! Prático eficaz tudo na palma da mão o problema é pra habilitar as funções nas agências;
Um usuário do Google;12 de novembro de 2018;App excelente até agora atende com excelência.;
Casa da Estopa Estopa;10 de julho de 2019;Muito bom. intuitivo e seguro;
Um usuário do Google;18 de novembro de 2018;Muito bom,pena que as vezes não funciona.;
Josivamrio Ferreira;5 de agosto de 2019;muito bom o app;
Leo Magalhaes;17 de maio de 2019;Muito bom,gostei do requisito EFICIÊNCIA.;
manoel portugal;22 de outubro de 2019;É fácil de usar;
tabata gierse;26 de abril de 2019;péssimo. vive dando problema. faz uma semana que simplesmente parou de funcionar e não consigo acessar a conta. o token sumiu....são posso ir na agencia e aí como faço;
regina Medeiros;26 de setembro de 2019;Minha experiência é com banco Bradesco tenho conta a anos e recebo meus benefícios no Bradesco ótimo atendimento sempre sou bem atendida e o banco Bradesco é muito sério com os clientes e cuida bem da conta corrente do Bradesco gosto muito. Mas sinto falta de ter um cartão de crédito do Bradesco não…;
Carlos Alberto Bortoleto;27 de setembro de 2018;Bradesco em evolução constante;
Eduardo Silva;4 de novembro de 2018;Este app atende todas as minhas espectativa . Só o leitor de código de barra que pode melhorar;
Um usuário do Google;29 de março de 2019;muito bom, atende completamente as necessidades do dia a dia!!;
Darlan Silva Siewerdt;2 de janeiro de 2019;Excelente e prático!;
Henrique Correia;3 de maio de 2019;muito bom, prático e rápido eficiênte;
Marcilio Mendes;29 de março de 2019;muito útil e prático para o dia a dia.;
Marcos Carapinha;14 de setembro de 2018;Poderia melhorar o leitor de código de barras;
Renata Reis;22 de outubro de 2019;Ótimo aplicativo, resolvo muitas coisas por ele.;
Helenildo Santos;18 de julho de 2019;comodidade total excelente;
