Nixon Mendes;25 de agosto de 2016;Bom;
Jose Gregorio;6 de junho de 2019;excelentes;
Cleiton On;24 de outubro de 2019;Sensacional não vivo sem o banco e sem dúvida alguma também não sei estar sem o aplicativo parabéns aos desenvolvendores;
Espaço Arruaça;16 de abril de 2019;O Aplicativo funciona muito bem.É bem simples com muitos recursos que facilita nossa rotina.;
Mayk Lopes;22 de fevereiro de 2018;Podia acrescentar a parte de cobrança no aplicativo com opção de enviar segunda via de boleto por e-mail boletos que estão em aberto;
Mauro figueiredo da silva;7 de abril de 2016;Gostei;
angela carvalho;13 de agosto de 2019;muito top ,resolvo muitas coisas;
Darlan Cunha;26 de fevereiro de 2019;muito bom;
Um usuário do Google;25 de fevereiro de 2019;bom muito bom;
Um usuário do Google;22 de agosto de 2016;eduardo E;
Mayara Pinho;21 de abril de 2019;app super completo!;
David Cardoso De Araujo;16 de abril de 2019;muito agradável fazer tudo pelo celular!;
Julio Grynglas;14 de maio de 2019;Difícil controle de cartão. Darf só pode no cpu;
Maciel Santos Modesto;8 de agosto de 2019;muito bom;
Leandro Barbosa do Couto;29 de julho de 2019;bom;
Romildo Mariano;29 de março de 2019;bom;
Márcio Gonçalves Rosa;29 de outubro de 2018;Após atualização não reconhece mais a chave automaticamente. O leitor do codigo de barras é o pior em relação a outros bancos que utilizo.;
Samuel Laverde;11 de setembro de 2019;Pedeu o token e login quando foi atualizado. Agora tenho q ir.na agencia para habilitarvo token novamente.;
Ronaldo Barbosa;19 de julho de 2017;Problemas nos depósitos. Antes da última atualização este serviço estava perfeito. Agora, capturo o cheque, e a situação fica sempre como: processando imagem. Eu descadastro o celular e recadastro e a imagem fica disponível para concluir a operação. Uso um Moto X de segunda geração.;
Bruno Moraes;23 de julho de 2019;top;
Gessi Pinto;20 de maio de 2019;contente;
Junior Neves Nogueira;13 de fevereiro de 2019;Muito bom!....;
Um usuário do Google;14 de fevereiro de 2019;mt bom;
donizeth da silva prado;21 de outubro de 2019;oi o app é bom mas tentei abrir a conta mei e diz que tenho que esperar 30 dias vou pedir a maquina de cartao e usar minha conta do itaú no cpf;
Valdenir Frankei Cabral Fernandes;20 de maio de 2019;Importante aplicativo e de fácil manuseio.;
Anderson Cleiton;12 de maio de 2019;muito bom;
Regina Nicolau;8 de fevereiro de 2019;Muito bom;
Gilvan Viana;23 de abril de 2019;uso ja faz muito tempo e resolve mais do que ir em agência ou usar computador. top demais;
Edson Sobral;1 de agosto de 2019;da pra usa.;
Igor014 MotoVlog;6 de setembro de 2019;Foi bem fácil os procedimentos para abrir minha conta MEI.Mas deve ser mais informativa sobre todos os trâmites e finalização da conta! Digo isso porque fiquei com muita dúvida! Quase que ia na agência.o bom dos apps é porque agiliza muitas coisas,por falta de tempo e também por evitar existências d…;
Ariel Cannal;26 de abril de 2019;Ao sair da conta PJ, o app mostra a senha do usuário.;
Luís André de Moura;9 de agosto de 2019;ótimo;
Marcos Benjamin;6 de julho de 2017;Agora parou de funcionar a digital n;
Débora Canonigo;29 de outubro de 2019;Toda hora o app da erro e fecha. Nao da para navegar;
alexander borba garcia;28 de outubro de 2019;Até o momento está sendo muito bom;
Um usuário do Google;4 de julho de 2017;Bradesco e bom;
Galego da gsx650;25 de maio de 2019;bom todo;
Moises Robadel;17 de abril de 2019;topy;
Wallace Fernandes;19 de abril de 2019;O aplicativo apresenta falhas corriqueiras, porém durante o uso quando esta pegando é excelente;
ANDRE OLIVEIRA;28 de maio de 2019;ótimo aplicativo;
cowboy mesquita;17 de abril de 2019;top;
Sidnei Oliver;17 de agosto de 2019;Ótima;
Sidnei Oliver;17 de agosto de 2019;Ótima;
Marcos Müzel;26 de abril de 2019;otimo;
Leandro Moraes;19 de fevereiro de 2019;excelente, fácil de operar.;
David Farias;8 de fevereiro de 2019;muito bom;
Rodrigo Grande;17 de julho de 2019;horroroso! Porque vocês não experimentam usar o aplicativo de todos os bancos concorrentes, e pegar o que cada um tem de bom, e colocar no aplicativo de vocês? Não precisa ser gênio pra fazer isso...;
Pedro Avelino Madeira Vieira;19 de setembro de 2019;Ainda utilizo muito pouco...;
FÁBIO NERVOSO;24 de maio de 2017;Ótima para facilitar a sua vida;
Trans Brow;1 de agosto de 2019;facilita muito..;
Um usuário do Google;13 de setembro de 2016;Bom ,so que é muito lento;
Um usuário do Google;25 de fevereiro de 2019;sou árbitro há vinte anos.;
José Carlos Nunes Mota;11 de outubro de 2019;Indispensável;
MARCIO LIMA;7 de agosto de 2019;nao consigo acessar via internet movel so com wifi;
Tania Barros;30 de julho de 2019;estou gostando;
Um usuário do Google;12 de agosto de 2019;Bom de más só;
Ruidival Castro;7 de agosto de 2019;Bra de Brasil e bra de bradesco ligados ao novo sistema de gestão.;
Jonielson Menezes;25 de janeiro de 2019;ótimo;
eziel Fragoso;25 de março de 2019;otimo pratico;
Rafael Luvizutto;14 de outubro de 2019;Muito bom;
Vanderli Vitorio;19 de agosto de 2019;foi mais rápido do que si eu fosse no banco fora a espera na fila que não tem;
Julio Cesar Ferreira Silva;15 de abril de 2019;excelente aplicativo...;
João Kalil;27 de agosto de 2019;Ótimo atendimento, Bradesco de parabéns Mais uma vez 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼;
Ricardo A. Peruzzo;12 de agosto de 2019;Não possui exportar/salvar extrato em pdf ou Excel. Impressão do Extrato no caixa eletrônico não consta o saldo do momento na conta corrente.;
Josue Guimaraes;3 de julho de 2019;nota 10;
Danielle Cachuba;10 de abril de 2019;prático;
Raimundo anicacio;17 de maio de 2019;top de mais me ajuda muito;
Nina Pereira;22 de abril de 2019;ótimo;
Marco Koti;30 de julho de 2019;excelente;
Graciele Gonçalves;21 de janeiro de 2019;Para ser 5 estrelas teria de ter a opção de copiar e colar código de barras;
Joyce Cristini;13 de setembro de 2019;Fiz a solicitação de abertura de conta, tem 2 meses e nunca obtive resposta.;
Mesoninho Sousa;18 de outubro de 2019;Aprendam com a concorrência Santander aplicativo muito mais fácil de usar , sem precisar ir na agencia pedir chave de segurança pro gerente, esse literalmente e o pior aplicativo que tem noa ajuda em nada alem de travar, fica fora do ar. Péssimo decepção e pouco, usuários novo mudem rpa Nubank e mel…;
Altamir Tholl;26 de julho de 2019;bom;
Luciana Gonçalves;20 de março de 2019;Gosto muito do aplicativo.;
FILIPHE LEMES;29 de outubro de 2018;O app e bom esta atendendo todas as minhas necessidades;
Alberto Kupcinskas;3 de junho de 2019;melhorou muito em relação a versão anterior;
Ademir Garcia Lopes;20 de julho de 2019;depois da última atualização eu não consigo mais acessar extrato de cartão de créditos, acusa sistema indisponível temporariamente.;
Fábio de Oliveira Andrade;19 de agosto de 2016;o app é bom, porém não tem como excluir uma empresa após cadastrá la;
Joel Barreto;19 de fevereiro de 2018;N consigo fazer depósito identificado pelo smartfhone, ainda falta esse item;
Marcos Garbin;11 de setembro de 2019;Não consigo ativar Chave de segurança no aplicativo. Informa erro no servidor;
joao cruz;4 de novembro de 2019;Bastante prático;
Maria Inêz Mortl;4 de novembro de 2019;Prático e seguro.;
Sempre Viva Festas;12 de outubro de 2015;Não Funciona. É uma pena.;
Weligton Faria;9 de agosto de 2017;Bom, útil. Em Dias digitais!;
RICARDO PEREIRA DE SOUZA;15 de abril de 2019;util e facil manuseio parabéns BRADESCO;
Raphael Siqueira;21 de fevereiro de 2019;Ok;
Cleidi Benetti;9 de setembro de 2019;Muito bom.;
Janiel Souza;19 de agosto de 2019;Não consigo abrir minha conta, quando chego na hora de selecionar a cidade de nascimento não conta a cidade de Goiás-GO na lista.;
Mateus Henrique Matos;29 de abril de 2019;muito eficiente !;
roberto araujo;25 de agosto de 2019;Otima;
Guia do Investidor;20 de julho de 2019;Excelente, além do aplicativo o atendimento é muito bom, obrigado...;
Mauricio Medeiros;1 de novembro de 2019;Não estou conseguindo entrar em nenhuma de minhas contas. FIRMA e Prime.;
Cláudio Adriano;9 de agosto de 2019;muito bom;
Nilson Santos;5 de março de 2019;muito bom;
Bruno Eduardo;22 de abril de 2016;Testando ainda Testando se me surpreender eu melhoro a nota;
Antônio Silva;27 de maio de 2017;Prá mim é ótimo. Resolvo o q preciso pelo aplicativo.;
Osinaldo Alves;23 de novembro de 2015;Muito para mim pra minha empresa Muito bom m;
Luiz Correia;24 de maio de 2019;agil;
Dyrlen Gentil;5 de julho de 2016;e bom.. mais n ta estalando no meu cell;
Thays Bornia;5 de junho de 2019;Ótimo App!;
LUIS FELIPE 58;19 de maio de 2016;Não está entrando mais depois da nova atualização arrume por favor obrigado;
Cristina Leme;31 de julho de 2017;Estou com problemas para depósitar cheques , a frente do cheque ele até captura mas no verso do cheque o aplicativo para do nada, e volta ao começo novamente, era o que mais usava ... Já pedi ajudar na central , e não resolveu favor revisar essa atualização.;
Patricia Buenonutri;6 de abril de 2018;O aplicativo está com erro. Quando vc antecipa os cartões de crédito ele trava naquela tela e vc não consegue ir para qualquer outra operação. Precisa fechar o aplicativo e abrir novamente.;
Um usuário do Google;23 de janeiro de 2017;Estou a mais de um mes com o menu reduzido e ninguem co segue resolver meu problema;
Um usuário do Google;24 de outubro de 2018;Bom desenvolvimento;
Antonio Garcia;30 de maio de 2019;show;
Wilson Ferreira;29 de julho de 2019;App funciona bem, só falta visualizar boletos pendentes e os que foram pagos;
Lucas Vieira;14 de março de 2016;Não abre Instala mas não consigo abrir, aparece a mensagem "Aplicativo Parou".;
Gabi & iram;24 de maio de 2014;Esse app é muito bom;
Moises Goncalves;16 de novembro de 2014;Excelente;
bruno dias;9 de abril de 2019;otimo app;
Tatiana Muniz;16 de outubro de 2019;É muito bom esse aplicativo;
tt paroendho;30 de maio de 2019;otima, eficiente e objetivo;
Regis Costta;8 de setembro de 2016;Token Pessoal do Bradesco, chega, isso está acabando com o entretenimento. Deixa esse orgulho de lado e pensem nos clientes. Elimine esse token.;
JHONY NEVES MARINGÁ PR NEVES FILHO;11 de junho de 2019;muito bom;
Erick Gerosino;24 de julho de 2019;muito bom;
Um usuário do Google;10 de fevereiro de 2019;muitp bom;
Weslley bispo Bispo;2 de maio de 2019;espetacular;
Maurício Almeida;20 de maio de 2019;Um dos mais fáceis e mais eficientes;
Lucinéia Rocha;13 de agosto de 2019;Excelência no atendimento.;
Anderson Maciel;17 de outubro de 2019;O sistema de foto e muito ruim passei dois tentando tira a foto e ainda não consegui;
Debora Melo;30 de março de 2016;Vou baixar mais se for ruim vou mandar todos tomar no c#;
Diego Guilherme;14 de outubro de 2019;Bom aplicativo;
Ulisses Fatinei;26 de outubro de 2015;Muito bom obrigado;
Leonardo Fernandes;7 de junho de 2019;bom;
Hudson Marques;23 de julho de 2019;ótimo app;
Nicolas F;30 de março de 2016;Bem melhor que antes Mas ainda tem bugs, o principal é o foco no depósito de cheques, borra tudo. Meu celular tem uma ótima câmera Asus selfie.;
Alan Silva;4 de maio de 2016;Precisamos de um aplicativo para corretistas;
Hugo Silva;14 de dezembro de 2015;Pode melhorar mais Pode melhorar mais;
Reinaldo Bessa;15 de outubro de 2019;Não consegui fazer uma transferência para o banco Itaú;
Jeferson Lazarotti;10 de abril de 2019;ótimo e ágil;
Um usuário do Google;23 de novembro de 2016;Empresa hotel pouso novo Pessoal nao funciona por favor atualizem preciso usar;
Stephanie Estellai;26 de janeiro de 2019;A chave se segurança fica travando, não estou conseguindo pagar conta por conta dessa chave.;
Ailson Rego;29 de setembro de 2019;Aplicatico muito pratico simples facilitou de mas nossas vidas..;
Edson Ferraz;2 de maio de 2019;otima;
geyson damazio neves;22 de maio de 2019;muito bom;
Susu Prado;22 de julho de 2019;mt bom;
Marcus Vinicius;7 de agosto de 2019;muito bom o aplicativo;
André William;25 de abril de 2019;Transferência para o nubank não funciona;
Francisco Quintiliano;26 de agosto de 2019;Funciona bem e é seguro;
Rafael Fernandes;12 de setembro de 2019;O aplicativo está horrível travando toda hora não está mais colocando automático usuário demora séculos para pedir a digital e quando pede leva 3 anos para entrar. Corrijam isso.;
Cleres Silveira;1 de março de 2019;super prático. Evita fila e desperdício de tempo.;
Joao Paulo;26 de abril de 2019;Muito bom! Programa leve e pouco uso da memória;
bysiger regis;12 de abril de 2019;perfeito;
Rodrigo Paiva;22 de março de 2016;Legal, esse aplicativo me atende em tudo que eu preciso;
Marcos Lacerda;22 de julho de 2019;até o momento atendendo as expectativas;
Mariele Fabbri;30 de dezembro de 2015;Não consigo ver o saldo Já não tem nem função para pagamento ou transferências mas não consigo nem ver o extrato;
Viviani Jorge;31 de janeiro de 2019;muito eficiente! ajuda importante no corre corre diário;
Cristiano Cucatti;15 de agosto de 2019;Alicativo funciona muito bem. Rápido, seguro e prático.;
Sergio Silverio Da Silva;26 de agosto de 2019;Muito bom, se for seguro e confiável, é uma ferramenta que permite ganhar tempo e filas em bancos!;
lara velloza;11 de maio de 2016;Pessimo Deveria seguir o do itau;
Ricardo Costa;14 de maio de 2019;otimo;
Adiel Cardoso;23 de novembro de 2016;Pessimo Pessimo;
atila santos;13 de junho de 2019;bom aplicativo;
magda alves;17 de junho de 2019;bon atendimento;
Edna Nascimento;16 de maio de 2019;objetivo! facilitou as operações;
Nezinho lara;29 de abril de 2019;promotora;
Carlos Eduardo Fernandes;1 de maio de 2019;tudo ok;
Antonio Dos Santos Da Silva;11 de junho de 2015;muito bommm;
Um usuário do Google;30 de agosto de 2017;Amor;
Um usuário do Google;27 de fevereiro de 2019;O aqq é muito ruim e pesado...;
Anderson Brito;22 de julho de 2019;excelente.;
dyarlen cerri;8 de agosto de 2019;muito bom. so nao consigo ver o resultado do investfacil ja sou correntista a uns 3 anos e nao vejo a rentabilidade;
Mix Premium;12 de agosto de 2019;muito bom!...;
Enelton Reis;29 de junho de 2017;Muito bom;
Fabio Pulga;10 de junho de 2019;Não gostei muito tem que colocar a senha e usuário toda vez que vai usar prefiro mais o app do Bradesco pf ficou melhor e bem mais funcional;
Vinicius Maffra;24 de maio de 2019;Lento pra iniciar;
Eduardo Ribeiro dos Santos;19 de julho de 2019;boa;
José S Soares;21 de janeiro de 2019;Por se tratar do banco o qual eu tenho conta é lógico que eu, não poderia deixar de avaliar! Nota! 10;
Fernanda Sales;4 de agosto de 2019;nao consigo acessar minha fatura do Bradesco;
Pedro de Souza Lima Filho;9 de abril de 2019;muito pratico e facil de navegar;
Helena Pinheiro;8 de agosto de 2019;facilidade e comodidade.;
Vitor Schwald;12 de agosto de 2019;bosta;
Alexandre Hirata;7 de maio de 2019;ótimo aplicativo;
o Despertar do Amor Ale.Rocha;15 de agosto de 2014;bqnepc73 Rocchaneto empreiteiro;
Alessandro Orso;16 de novembro de 2018;Leitor de código de barras muito lento, app lento pra abrir e carregar funções.;
pastora creuzamoises esquerdo;28 de junho de 2019;ótimo;
Rogério Bastos;30 de julho de 2015;A chave de segurança não funciona no moto maxx;
Clemilson Pessoa;21 de outubro de 2019;Muito bom;
Dilceia Alves Ramos Da Silva;26 de fevereiro de 2019;muito bom;
valnei Montoro;21 de agosto de 2019;Muito bom..;
carlos bezerra;20 de junho de 2019;muito Otimar origado carlos f bezerra;
4ever Corretora de Seguros;22 de maio de 2019;boa;
Plínio Nelson;2 de julho de 2019;excelente aplicativo;
ulrich mattos;25 de outubro de 2018;Nao consigo acessar fica dando erro de chave não cadastrada;
Luiz Gustavo Schneider. Pereira;17 de janeiro de 2019;App prático e muito funcional. Reduziu quase que 90% da minha frequência em uma agência física. Recomendo!;
Welton Moreira;17 de maio de 2016;Fantastico;
chiquinho chico;19 de janeiro de 2019;excelente serviço;
Edsel Rodrigues;13 de abril de 2019;tô gostando mais não uso muito.;
Gabriel Troni;1 de julho de 2016;Bom Muito facil de mexer;
JOSAFÁMELO MELO;12 de agosto de 2019;otimo;
JOSAFÁMELO MELO;12 de agosto de 2019;otimo;
Maicon Vaz;22 de abril de 2019;ótimo;
Thiago mazini;13 de agosto de 2019;não consigo abrir minha conta coloco meu cnpj meu cpf aperto continuar r não vai;
Kesia Souza;10 de setembro de 2014;Muito bom;
Augusta Scian;16 de maio de 2019;Excelente.;
Carlos Jr;2 de agosto de 2019;Estou tentando acessar minha conta e não estou conseguindo .;
Fernando Falcon;14 de maio de 2019;perfeito para agilizar o dia a dia...;
Andson Furtado;9 de setembro de 2019;Facio e simples bem pratico..;
