Jucelino Oliveira;30 de setembro de 2019;O app está a cada upgrade melhor. Parabéns!!! Sugestões aos desenvolvedores: Alterar o limite do titular dentro do limite global como já é possível em outras fintech, como é o caso do Nubank, que dentro do limite global, vc pode aumentar ou diminuir. Hoje, app caixa, recurso disponível apenas para o…;1;1
Donna Iracy;14 de outubro de 2019;Nao consigo vê a opção imprimir fatura, alguém me diga como imprimir, pois na versão que baixei não aparece de forma alguma, já tentei de todo jeito. A fatura não chega pelos correios, aqui não funciona, e como faço pra efetuar o pagamento? As vezes acho que é de propósito, sei não viu, não tem pont…;3;4
Pedro Bruno;18 de setembro de 2019;Estou gostando do app, adiantamento de parcelas foi uma idéia ótima!!, agora uma sugestão importante, coloquem para abrir o app usando a digital, em vez da senha, já era pra isso está acontecendo,todos os app concorrentes já tem, inclusive o app da conta corrente da caixa, é mais seguro, por favor p…;1;1
Roberta Oliveira;27 de setembro de 2019;A nova funcionalidade de antecipação de parcelas está excelente!! Parabéns ao idealizador, merece uma promoção!! Sugiro como melhoria do APP que fosse possível que o titular do cartão de crédito pudesse confirmar (ou não) dentro de determinado prazo transações realizadas por APPs, Internet e outras …;1;1
Eloá Souza;23 de setembro de 2019;Meu pai e aposentado e a caixa disponibilizou esse cartão de crédito pra ele mas nao consigo ter acesso a fatura no aplicativo. Como faço para visualizar a fatura? Todo mês e um tormento pra pagar ja que no caixa eletrônico nunca sai o valor total apenas as dívidas que tem no cartão. Pfv preciso ter…;3;2
Jackson Teixeira;24 de setembro de 2019;Nunca vi um App tão rui ! Fui na agência atualizar meu telefone é todos os dados , quando baixei o App é fui acessar fala que eu tenho que digitar um telefone celular cadastrado , a tá de brincadeira né? Ainda falam pra gente fazer fatura digital sendo que nem no simples aplicativo a gente consegue …;2;3
Camila Saboya;13 de outubro de 2019;Bom dia! O aplicativo é muito bom. Só falta uma atualização para poder aumentar o limite do cartão pelo App já que ir até a agência para fazer uma coisa tão simples se perde muito tempo. Seria tão fácil a opção atualizar renda para aumento do limite por aqui. Grata;1;1
Helen Amorim;23 de setembro de 2019;Seria muito bom ter a possibilidade de identificação digital, bem como a troca de senha. Tenho vários cartões e só lembro pq está anotada no cartao (de forma codificada, claro, mas ainda assim tenho sempre que ver qual é senha) obg.;1;5
Sérgio Alves;21 de setembro de 2019;Gostei da Atualização, principalmente a parte que se refere a Antecipação de Parcelas e a outra mais importante que é a opção de Renegociação de Débitos com outros Cartões, Sugiro que se inclua essa Opção de Renegociação de Débitos com a Caixa no APP da Caixa tbm, pq somente é possível fazer essa Re…;1;5
Wagninho Santos;3 de novembro de 2018;Eu entrava facilmente nele.... Mas agora está travando pra entra alguém pode dizer motivo da demora;3;5
Wander Ramos de Lima;9 de junho de 2019;Bom.;4;5
Esdras Santos;4 de dezembro de 2016;MUITO BOM POREN GOSTARIA DE SABER PORKUE NAO CONSIGO CADASTRAR 2 CARTOES O MEU I DA MINHA ESPOSA NO MESMO APRICATIVO ALGUEN PODE MIM ESPRICAR??;3;4
Silene Oliveira;8 de janeiro de 2018;O problema foi resolvido... App bom de novo 😍;4;1
NILSON OLIVEIRA;1 de outubro de 2018;Deveria ter opcao de chat e outros opcoes para atendimentos ao consumidor pelo aplicativo e a funcao de senha por digital tambem assim com outros bancos jà aderiram. A caixa està atrasada em relacao ha outros Bancos que tem funcoes muito mais avancadas para facilitar a vida de seus clientes....;1;5
Um usuário do Google;18 de outubro de 2018;Troquei de Aparelho e não estou mais ocnseguindo acessar. sempre ao tentar fazer login, aparece a frase tente mais tarde. Porém nunca conwegui consegui abrir. Quero providências.;3;3
Wilson Teixeira Junior;8 de agosto de 2017;Bom;4;5
Fatima castro;22 de julho de 2019;gosto bastante App atende as minhas necessidades!!;4;1
Raiane PAULA RODRIGUES;7 de abril de 2018;Quando vou na opção "Faturas", a fatura em aberto so me apresenta os valores que foram parcelados. Não indica as compras sem parcelas. Um absurdo, pois demonstra uma falsa realidade, haja vista que pra eu saber, antecipadamente, qual será o valor da minha fatura, preciso de uma calculadora para adic…;1;3
Josi Vinhando;17 de junho de 2017;Não recebo o código de sms. Tentei dezenas de vezes em dias e horários diferentes e não ven;3;5
Ana Paula Santos;8 de dezembro de 2018;Olá boa noite gostaria de saber se esse aplicativo da caixa também é para caixa poupança?;3;5
André;9 de setembro de 2017;Prático;4;5
Rafael Salomao;27 de outubro de 2017;Não estou conseguindo receber o número por sms. Já solicitei várias vezes e nada. Aliás tb fiquei com receio que solicitaram minha senha na primeira tela;3;5
VINICIUS FONTES;18 de julho de 2017;O App em si funciona bem, na minha avaliação considero bom! Contudo gostaria de fazer uma observação: notei que algumas pessoas passaram pelo mesmo problema que eu, trata-se de uma atualização caracterizada por uma tela preta que surge quando tento fazer o login e essa mesma atualização não encontra…;1;5
Francisco Ribeiro;14 de abril de 2019;excelente!!!!;4;1
nycolas santos da costa;27 de março de 2018;Não consigo sair da tela do termo de uso. Ja abri e fechei, li o termo umas 500 vezes e na hora de continuar o app diz pra aceitar os termos sempre, sendo ja fiz isso tb;3;4
luis victoria;9 de setembro de 2019;Olá. O App é ótimo. No entanto não estou conseguindo atualizar o App para a nova versão. A minha versão atual é a 3.2.1 e sei que já existe nova versão com novas funcionalidades. Como faço para ter acesso à nova versão?;3;4
Um usuário do Google;26 de outubro de 2018;Não consigo baixar o aplicativo;3;4
Júnior Tech;30 de janeiro de 2018;É ótimo;4;5
Um usuário do Google;10 de agosto de 2018;O aplicativo é básico. Falta o gerenciamento do limite disponível do cartão, o que garante mais segurança, visto que poderia deixar disponível apenas o limite necessário para as compras e ir ajustando conforme necessário.Também é interessante ter um gráfico mensal para acompanhar os gastos.;1;5
Julia Nogueira;17 de abril de 2018;Às vezes não funciona e tem que ser reinstalado.;2;5
daniela santos;31 de outubro de 2017;bom;4;5
Julio Toste;24 de novembro de 2016;Não funciona;2;5
Um usuário do Google;4 de junho de 2018;Não tem a opção para cartões empresariais!;1;5
José Alencar Philereno;26 de fevereiro de 2018;Não serve para gerenciar cartão empresarial;1;5
Adridbf Fernandes;23 de fevereiro de 2019;bom;4;5
jonasrlopes;17 de janeiro de 2019;funciona perfeitamente;4;5
Joab Vieira Rocha;12 de outubro de 2019;Excelente;4;1
Tielinha Gomes;19 de dezembro de 2016;Gostei muito Cumpri o que promete 👏;4;1
Silmondes Miranda;10 de janeiro de 2018;Qndo for fazer algum app , faça o direito;2;3
Ricardo Júnior;6 de setembro de 2017;Excelente iniciativa da CAIXA.;4;1
alipio da assunção moraes vanzeler;29 de julho de 2019;bom;4;5
Sávyo Chaves;23 de dezembro de 2018;Ótimo;4;1
Um usuário do Google;20 de janeiro de 2017;Ótimo aplicativo agora posso controlar meus gastos;4;1
Fernando Reis;29 de março de 2019;muito bom;4;1
Aidar Borges;17 de maio de 2017;Depois que atualizou parou de funcionar com dois cartões;1;5
Alan Lima;31 de janeiro de 2018;Fiz uma restauração em meu celular e agora . Reinstalei o app e Não consigo cadastrar meu cartão...;3;4
Bruno Cabral;9 de março de 2017;Uma lástima ter que ir a agência cadastrar o celular pra poder usar esse aplicativo.;1;2
Um usuário do Google;5 de outubro de 2018;Nao presta;2;3
Um usuário do Google;18 de dezembro de 2018;Ótimas funcionalidades!;4;1
Gerlane Ferreira;12 de setembro de 2019;Seria bom se tovesse como aumenta o limite do cartão pelo APP.;1;5
jailton figueiredo;24 de agosto de 2019;Ótimo App;4;1
Zeti Maria;21 de dezembro de 2018;Pontual;4;5
Giovani Junior;18 de agosto de 2017;Excelente! Posso administrar minha fatura pelo celular, sem necessidade de papel impresso. A natureza agradece!;4;1
Aurenir Gustavo;26 de fevereiro de 2018;É confiável esse aplicativo? Será que eu corro risco? Alguém pode pegar meus dados?;3;4
Fábio Arai;12 de novembro de 2017;Simplesmente não funciona após cadastrar cartão e telefone. Só fica na tela e cadastro e nem consigo fechar o app. Meu aparelho é Moto G com Android 5.1. Desinstalando...;3;4
iri naldo;29 de abril de 2019;antes eu conseguia enviar ao email a fatura quando nao chegava, depois da atualização pede pra autorizar;3;5
luis aecio alves nunes Nunes;4 de fevereiro de 2017;Tive cartão clonado por aqui;2;3
Um usuário do Google;5 de agosto de 2018;Ótimo;4;1
rosemary figueiredo;24 de agosto de 2017;Um absurdo a gente mudar o numero do celular e ter que ir em uma agencia p informar e assim acessar o app.Q tal vincular ao Cpf e facilitar a vida da gente?;1;3
Francisco Almada;6 de setembro de 2019;Sou cliente muito tempo;4;5
Iriene Barbara;1 de abril de 2019;fracasso não consegui nada!!;2;2
Lucian Araújo;8 de fevereiro de 2018;Lixo. Parou de funcionar. Me fez tanta raiva que quebrei meu celular. Maldita seja a hora que instalei.;2;3
Eliseu Carlos kozlowski vogel Vogel;4 de março de 2018;Atendeu minha necessidade.;4;1
Luidi R.;13 de outubro de 2017;Instalei, abriu, coloquei dados do cartao e o fechou o aplicativo. Repeti o procedimento umas 5 vezes. Não consegui usar. Desinstalei!;3;3
Um usuário do Google;10 de agosto de 2017;Bom, quando faz atualização fica mais lento.;1;5
Washington Carvalho;19 de agosto de 2019;Ecelente;4;1
Viviane Rufino;5 de novembro de 2018;Toda vez que coloco a senha, carrega e diz que o tempo esgotou "tente novamente mais tarde". Assim fica difícil acompanhar os gastos!;1;2
Ricardo Neri;19 de novembro de 2018;Não estou conseguindo acessar minha conta o código via SMS não tá chegando pra finalizar o acesso a conta;3;5
André Oliveira;14 de agosto de 2018;Há mais de ano que aguardo a liberação para cartões empresariais. A caixa insiste nos tempos arcaicos, onde o cliente tem que ligar num telefone, aguardar a boa vontade de alguém somente para saber o saldo disponível... lamentável;1;2
Kely Bento;10 de setembro de 2018;Não estou conseguindo entrar no aplicativo depois da última atualização já desistalei e mesmo assim da erro de que o tempo expirou por favor arruma logo isso;1
Emily Oliveira;13 de fevereiro de 2019;da pra dar uma olhada poque eu pager multa de atraso se eu paguei adiantado e o pagamento e altomatico na data serta e ela sempre demora uma semana pa aparecer que foi pago;1
Um usuário do Google;17 de fevereiro de 2017;Bom muito bom;4
Mara Soares;19 de agosto de 2017;Não funcionou nada!;2
Eduardo;5 de outubro de 2018;Não gostei;2
Um usuário do Google;15 de maio de 2018;Não está dando pra ver mais nada nesse aplicativo.... Concertem isso;1
Alex Wizzard;7 de janeiro de 2019;péssimo so fica pedindo q tente novamente mais tarde.;1
gilberto dias;5 de novembro de 2018;Tento ver saldo e limites do meu cartão só da tempo ecedido;1
Sergio Jacob Cupertino;27 de fevereiro de 2019;De repente, o app deu problema! Ao tentar acessar recebo a msg de que a senha está bloqueada, o que não é fato, pq continuo usando-o normalmente em compras.;1
Glauco Ribeiro;6 de maio de 2018;Muito bom.;4
Um usuário do Google;15 de junho de 2017;Gente esse Cartão pagar anuidade ou não queria uma informação;3
Sergio Andrade S;10 de dezembro de 2016;Servicos testados e aprovados Funcionando perfeitamente tablet LG. Agora falta incluir a opcao de visualizar faturas dos ultimos 12 meses e nao de 4 apenas. Habilitação para uso internacional ok. Envio de fatura por email ok.;1
Um usuário do Google;29 de dezembro de 2017;Uma bosta;2
Um usuário do Google;8 de fevereiro de 2019;qual aplicativo eu posso abrir uma conta;3
canal tem de tudo oficial;5 de julho de 2018;Gente eu posso fazer um cartão de crédito pelo aplicativo?;3
Jeferson Rocha;10 de junho de 2019;otimo app, porem cobra anuidade,sendo que sou correntista a anos ,poderia ter isenção da taxa de anuidade pra quem é correntista da caixa econômica federal,porque ja pagamos taxas por ser correntistas!;1
Carolina Heimann;17 de janeiro de 2017;Excelente App pra Cartões de Crédito. Grande inovação no mercado!;4
Um usuário do Google;6 de agosto de 2018;Pelo amor de Deus .. tou o dia enteiro tentando entrar no App e só fica carregando .. e depois aparece sua requisição expirou ... péssimo;1
alesson lopeszumba;2 de setembro de 2019;como faço pra pedir meu cartão de crédito ? pk estou tentando n consigo;3
Joao Gabriel Games;10 de maio de 2019;muito bom;4
Alessandro Santos;15 de abril de 2019;no momento do cadastro. pede a senha do cartão. muito complicado liberar senha de banco.;1
Um usuário do Google;14 de março de 2019;Fiz o Pagamento do cartão ontem e a data do vencimento é dia 15, e ainda não liberou o valor sabe me informar quantos dias libera o valor.;3
Hulley Campos;10 de abril de 2017;Deveria disponibilizar o programa de pontos também;1
Fracisco Isac Borges;9 de julho de 2019;muito bom e discomplicado tem todas informações do uso do cartão;4
Fabio Santos;26 de abril de 2019;E muito bom;4
Denner Darques;29 de maio de 2019;Horrível!;2
Marcelo Fernandes Bastos;19 de novembro de 2018;Otimo aplicativo. Prático demais;4
Adriana Garcia;29 de agosto de 2017;Não consigo cadastrar meu cartão de crédito elo. O app informa que enviará um SMS com o código da validar o cartão, mas esse SMS nunca chega.;1
radiosublimepaz paz;14 de dezembro de 2018;Amei ,muito prático, me ajuda bastante , 5 estrela;4
Um usuário do Google;31 de outubro de 2017;É Ótimo;4
Lena Regis;3 de outubro de 2018;É bem prático pra acompanhar os gastos;4
Nelson Olimpio;7 de julho de 2017;Toda vez que entro no app tenho que cadastrar o cartão novamente, é normal?;3
Julio Cesaro;28 de julho de 2019;bom;4
Jaizinho Reis;26 de junho de 2019;meu aplicativo não está funcionando;2
Marcos Luiz;3 de novembro de 2018;Aplicativo e muito bom,mais sempre tem algum problema de login que te manda tentar mais tarde,não consegui acessar meus cartões agora.;
lucian moia;6 de janeiro de 2019;não estou conseguindo fazer o cadastro só diz que o tempo expirou tente mais tarde, só os App da caixa que acontece isso esse App e essencial hj em dia é não fazem uma coisa que preste só pode ser do governo msm.;
rafaelhenrique santos;7 de julho de 2018;O app manda uma msg que o número de telefone não e o mesmo que o cadastrado, sendo que foi o mesmo informado na abertura da conta e solicitação do cartão;
Karine Novais;20 de janeiro de 2018;Ja coloquei todos os numeros possiveis de contato de celular pra poder desbloquear meu cartão e so diz que esta errado! Nao sabia que tinha mudado de telefone!;
Marcela Nascimento;15 de outubro de 2017;Ainda não recebi o código para concluir o cadastro no app. Já pedi mais de 10x e nada.;
Daniel Martins;6 de julho de 2017;Já recebi uns 7 códigos e todos dão inválidos na hora de ativação do cartão no APK, canseira! 06/07 Agora deu certo!;
Marina Cristina;1 de julho de 2019;O App não instala no celular de jeito nenhum, apresenta erro toda vez que tento. Samsung Galaxy J6;
Dionei Moraes Aguiar;6 de janeiro de 2019;Só atualizei e não funciona mais! Tempo de resposta esgotou.....;
Um usuário do Google;27 de março de 2018;Péssimo! Nunca recebo os códigos por SMS. O número está correto e é o mesmo do cadastro. Perca de tempo!;
ana Cristina;10 de setembro de 2019;Entrei com facilidade no app Ótimo app;
Marinete Gomes;21 de março de 2017;Estou um pouco decepcionada , meu limite está incorreto e desatualizado;
Ednilson - Nil Tojal de Almeida;3 de dezembro de 2018;Quando quero ver faturas no app ele fecha sozinho;
Cleiciane Ferreira;11 de abril de 2019;Não gostei, pelo fato de não puder atualizar o número de telefone pelo app ou via chamada, mesmo estando com todos os dados necessários em mãos. Fazendo com que o cliente se sinta obrigado a ir até uma agência solicitar a atualização.;
Flavio Rezende;8 de janeiro de 2018;hahahahaha. boa essa piada...haha;
Antonio jonas Alves de Moura;6 de julho de 2019;ele é bom mais eu não foi consiguido baixar e quando ele tava instalando eu não tava conseguindo entrar tive que desinstalar de novo;
Rodrigo Pavão;4 de setembro de 2017;Lixo. Não funciona.;
Cléya ......;1 de fevereiro de 2017;Tô aguardando o código que é enviado por SMS e até agora nada.;
SALATIEL S. SILVA;8 de abril de 2019;A mensagem não ta chegando ,pra confirmar o cadastro;
Helena Matias;11 de abril de 2018;Fui na minha agência e falou que só cadastra o número do telefone pra ter acesso e controle da conta débito não crédito,eu quero pra crédito o rapaz que mim atendeu falou pra mim ligar na central pra resolver aí já não entendi mas nada..;
Helio Junior;16 de novembro de 2018;Ótimo;
Alice Ferreira Saraiva;19 de setembro de 2018;É um bom aplicativo. Poderia ter a ferramenta Classificador dos gastos, como o App do cartao porto seguro. Assim da pra vizualizar onde estao concentrados nossos gastos.;
Wilsinho Bonfim;9 de agosto de 2017;Após a atualização , não consigo acessar o cartão! Conseguiram piorar o que já não era bom;
Um usuário do Google;31 de outubro de 2018;Fiz o cadastro tudo certinho, e fica dizendo que o app tá dizendo que tá indisponível;
Walber equipe #SomnaRoça Alcobaça-BA;25 de junho de 2017;Nao consigo cadastrar meu cartão de crédito da caixa informa cadastro invalido como proceder?;
Juliana Amorim;4 de outubro de 2018;Não estou conseguindo consultar meu cartão desde que troquei de aparelho, me ajudava tanto😟!!;
Marcelooo Niceee;10 de abril de 2019;Não consigo acessar!!!!;
Joabe Lucas;9 de agosto de 2017;Uma bosta toda vez que tento acessar fica carregando e depois sai do aplicativo. E já tem um tempo que isso acontece e eles não resolvem o problema.;
Gisoneide Silva;22 de junho de 2017;O app é muito bom sempre tem novas melhorias baixem bom mesmo;
Roberta Lima;15 de dezembro de 2018;Não estou conseguindo entrar para ver os meus gastos do cartão elo débito fica aparecendo sua senha está bloqueada mais já desbroquei e agora me ajuda por favor;
Rafael Danyzinha Paixao;14 de julho de 2017;Esse app estou colocando tudo certo so dar erro;
Naiara Da Silva De Jesus;24 de julho de 2019;Ótimo app. vc acompanha todas as compras, faturas e pontuação. sem contar que vc pode bloquear o cartão se achar que foi clonado.;
Izabel Chaves;6 de julho de 2019;horrível! Não funciona;
natanael goncalves;5 de outubro de 2017;Não sei qual é o motivo mas não consigo entra no aplicativo ele fala pra mim entrar em contato ...;
Allan Silva;2 de maio de 2018;Péssimo! nao entendo pq usar a senha do Cartão para acessar o app. Por questoes de segurança deveria existir uma senha propria para acessar o App e nao usar a senha de uso dl Cartão!! Um alvo mais do que facil para roubarem a senha do cartao!! Tentei usar uma vez e logo após tive problema de clo…;
Denise Paredes Arlindo;29 de julho de 2019;app excelente!;
Alessandra Kani;5 de janeiro de 2018;Ele parou de funcionar. Atende ao básico mas é muito fraco;
Elayne Nascimento;20 de junho de 2018;O aplicativo é péssimo não aceita meu número.;
Arthur Tomás;17 de novembro de 2018;Não consigo mais acessar o app;
Marcelo Rodrigues;30 de agosto de 2018;Eu nunca vai fazer cartão caixa nova.;
Crislayne Cris;9 de janeiro de 2019;nao estou conseguindo fazer o cadastro do cartão , fica carregando e depois aparece tente novamente mas tarde;
Layani Christynna;8 de janeiro de 2018;Olá tenho 16 anos posso ter um cartão da caixa econômica?;
Aparicio Silva;14 de junho de 2017;Funcionamento bom e prático;
Nathan Clash;26 de julho de 2019;Não entendi por que tem que colocar a senha!?;
Sonia de Almeida;5 de janeiro de 2018;Excelencia no q fax;
vilmar batista;26 de setembro de 2018;Excelente!;
Debora Wenceslau;4 de dezembro de 2018;Simplesmente não consigo cadastrar meu cartão, péssimo ap;
Juarez Braga;27 de julho de 2019;Muito útil o aplicativo;
Mayh Moura;5 de janeiro de 2018;Por favor me ajudem, não tou sabendo como colocar o numero do cartão para começar usar o APP Minha conta é poupança. Me digam o jeito certo de fazer esse preenchimento por favor.;
Vander Feifarech;7 de janeiro de 2017;👍 Ok, reavaliação...;
Soniabarbi Barbi;23 de maio de 2019;muito.bommm;
Felipe Samuel Miranda de Samuel;8 de agosto de 2019;muito bom;
edeonip Santos;16 de outubro de 2017;Não consigo acessar preencho corretamente mas não carrega a página;
