Fabianna Rampazzo;7 de dezembro de 2018;O App vive em manutenção! Fica muito difícil utilizar um aplicativo dessa forma.;1
eder victor;19 de outubro de 2019;Otimo para controle dos gastos;4
Um usuário do Google;26 de novembro de 2018;O pior aplicativo que existe vivo fora do ar você não consegue visualizar sua fatura e vive sempre em manutenção e o pior aplicativo que existe de cartão;1
Elias Dias Borges;5 de junho de 2019;otimo o cartão de crédito do Carrefour , além de ter crédito pessoal 👍;4
Um usuário do Google;18 de janeiro de 2019;Ta dando raiva esse app carrefour tô qse pedindo pra cancelar esse cartão e muito ruim ja faz 1semana querendo abrir o app pra saber do limite fatura dar sempre que indisponível mesmo colocando a senha certa desinstalo e instalado continua muito ruim no site também nem consigo só por telefone..;3
mundo da Rhy Unicornia;1 de junho de 2019;bom e fácil de usar mais o cartão está mim deixando um pouco triste ele ainda não aumentou o limite ainda e eu pago em dia e o valor total e já tenho ele a quase um ano fico triste com isso;1
Um usuário do Google;12 de setembro de 2018;É muito bom...só poderia excluir as faturas que já foram pagas...para não misturar com as que não foram.;1
Rafa Belinha;11 de julho de 2019;Não está funcionando isso por favor melhorem esse app o cartão já não é aquelas coisas irei cancelar não da;2
Matheus Amorim;17 de setembro de 2019;Quero saber quem foi o "jeniu" que criou um App de compras e não colocou opção de ver as compras realizadas.;1
Lorrana Nascimento;27 de março de 2019;eu estou tentando por os meus dados e automaticamente o formulário preenche sozinho com números que eu não estou pondo então resolvam isso.;1
Ieda Oliveira;8 de julho de 2019;estou tendo problemas com o App está pedindo cadastrado biométrico... e o app fecha sem ao menos pedi a senha ou da outra forma de acesso;1
Geraldo Salem Junior;14 de abril de 2019;Bom , pq mesmo passando do limite ele autoriza a compra!;4
Jaciara amador;11 de março de 2019;chegou uma msg no meu cel q meu cartão foi liberado, pra desbloquear tenho q baixar o app,mas tá pedindo o número do meu cartão e ele ainda ñ chegou,qual o prazo pra entrega? Tem como me enviar o número dele por e-mail?;3
Arthur Campos;30 de junho de 2019;por enquanto ajudou eu tirar minhas dúvidas do cartão. veremos se ira continuar;
Marry Olivier;22 de junho de 2019;o aplicativo parou do nada, não consigo acessar fale cliente bloqueado ao trocar de senha diz dados inconscistente.;
Joaquim Ferreira;24 de novembro de 2018;O app está com problema não dá para ver a fatura isso por que está em manutenção;
Walter Miranda;9 de julho de 2019;Sumiu minha opção de usar o cartão em compras na loja carrefour pelo aplicativo. Podem me ajudar?;
Andrea Paulino;18 de julho de 2019;App funciona muito bem. Muito prático e eficiente.;
Alexandre Oliveira;26 de agosto de 2019;Tá demorando muito abrir o App...quando faço compras só no outro dia que vai constar no App!...;
Ju lopes;12 de agosto de 2019;tento gerar boleto e nao gera, os telefones que aparecem no aplicativo não sao úteis. pois no ninguém atende.;
Marcos Cezar Nunes;21 de fevereiro de 2019;é muito lento pra agilizar as informações do estrato do cartão ex quando pago a fatura demora pra aparecer que esta pago;
Raimundo Nascimento;17 de setembro de 2018;O App antigo era melhor esse não ta dando pra enviar fatura para o meu imail.o antigo nunca tive problema;
Um usuário do Google;26 de novembro de 2018;eeerrraaa otimo, mas depois que eu atualizei ficou pessimo nao consigo mas acessar a minha conta, so vivi dando ( em manuntençao) e quando eu consigo ele da falha i sai do aplicativo afff pelo amor de DEUS 😤;
Reginaldo Perini;7 de junho de 2019;Não funciona ou funciona bem mal como o site;
Josivaldo Santana;8 de junho de 2019;cartao otimo facilita o pagamento;
Um usuário do Google;2 de novembro de 2018;Não consigo me cadastrar quando chega na parte que pede o número do cartão ,já tentei várias vezes;
Sandra Santos;21 de outubro de 2019;Não tem espaço para reclamação Estou com um problema sério pra resolver.Sobre uma compra que foi reprovada e depois veio no endereço eu devolvi e estão me cobrando;
Eli De Almeida;29 de julho de 2019;agora dou 5 estrelas porque não sei como apareceu a opção de usar a digital, mas vou deixar uma dica que poderia ter a função de bloquear ou habilitar para compras online e loja física com chavinhas de habilitação, assim evitaria compras sem autorização em sites não confiáveis.;
Mundo Do Guiguinho;22 de março de 2019;tenho tentado a dois dias solicitar o cartao mais a pagina do app, carrega mais nao abre e quando abre ao preencher o formulário fecha sozinho e nao abri mais... melhorem o app pf;
Lyanyldo;30 de abril de 2019;muito bom indico!!!! poblema e a senha do cartão que não chega nunca, o cartão já chegou já a senha nada ,já pedi o reenvio e nada !!!!!;
Pedro Dantas;1 de fevereiro de 2019;nao consigo usar sempre da dados indisponível no momento;
Marlon Gripp;9 de abril de 2019;Poderia ter uma opção de fazer bloqueio temporário e desbloqueio do cartão. fora isso, muito bom e fácil de usar.;
