Edyanny Ferraz;12 de setembro de 2019;Otimo😍;
Juliano Correia;4 de setembro de 2019;Todo mês nao consigo baixar a fatura em pdf...... E nao envia para o email cadastrado;
Alvaro Augusto;22 de julho de 2019;beleza tudo normal;
Jeh Soares;5 de junho de 2019;amei demais, estão de parabéns;
Dione Tavares;30 de abril de 2019;App perfeito. Não me arrependo de ter baixado;
Terezinha De Fátima De Rezende Rocha Terezinha;2 de junho de 2019;para mim foi ótimo estou contratando as minhas contas......;
Jessica Ferreira;14 de outubro de 2019;Adoro esse aplicativo muitoo boom👏👏👏;
Jose Adriano;29 de maio de 2019;o limite nunca aumenta ja faz um ano que tenho o cartao pra aumentar o limite tenho que contratar o seguro muito errado isso;
Marcinha Kailer;4 de janeiro de 2019;me ajudou muito pois tinha dificuldade para receber minha fatura, agora consigo pagar em dia é também consigo controlar melhor meu gastos, super recomendo.;
Nena medeiros;20 de fevereiro de 2019;não consigo gerar uma segunda via da fatura no app aparece uma mensagem que deu problema;
Priscilla Oliveira;4 de julho de 2019;gostei muito do App. oq eu não gostei, já paguei a fatura do cartão e no App fala que tem que pagar.;
Samara Moura;28 de agosto de 2019;Ótima;
Gloria Olimpio;11 de junho de 2019;eusoucliemte eu sou cliente da losango;
Daniela Silva;8 de setembro de 2019;O App e ótimo;
Joselyane F;21 de agosto de 2019;Bacana e fácil manuseio;
Jose rodrigues cabral junior Junior cabral;24 de maio de 2019;ótimo parabéns app belíssimo;
Giselle Rocha;2 de agosto de 2019;adoro esse cartão faco comprs com o cartão fa minha mãe;
Fnanda Sousa;1 de outubro de 2019;Eu gostaria de Saber oq significa lançamentos nacionais que ta cobrando uma Coisa que eu nao comprei, e nao explica o o pq da Divida ?;
Douglas Poletto;26 de setembro de 2019;Muito prático;
Adriele Sousa;16 de junho de 2019;aplicativo muito bom;
JÁ SOU LIVRE;26 de setembro de 2019;Péssimo atendimento;
Rita Silva;24 de setembro de 2019;Ótimo aplicativo;
Janmerson França;21 de agosto de 2019;Muito bom! Facilitou demais nossa relação com os cartões luiza.;
Matuzalem Gonçalves Dutra;9 de setembro de 2019;Não tem opção de adiantamento de fatura.;
Jose Damasceno;26 de agosto de 2019;Ótimo excelente;
marcio barbosa;13 de setembro de 2019;Não estou gostando , não mostra as compra e parcelamentos q ja foram feitas, aparece apenas o limite total da fatura utilizada😒;
Alaíde Maciel;25 de outubro de 2019;Simplesmente não abre. Coloco a senha da erro não entra. Adorei a ideia do App mais n funciona .;
Jonas Souza;26 de agosto de 2019;Muito bom recomendo;
Rosangela C B Bueno;18 de junho de 2019;do nada o app não abre mais, moro na zona rural e fica difícil ir ae a cidade para pagar , pensei que conseguiria resolver tudo pelo app. mas ele nem abre , não consigo acessar . fiquei muito triste.;
Jefferson carlos;7 de setembro de 2019;Falta melhor esse app. Pois pelo aplicativo nao consigo mudar a senha do cartao, a data do vencimento.;
Elielson Souza;3 de setembro de 2019;Muito bom fácil fazer o planejamento das compras.;
Itamara Silva;1 de agosto de 2019;Muito bom, simples e de fácil entendimento.;
Kelly Mendes;7 de outubro de 2019;Muito bom;
DanieL Di Capão;19 de outubro de 2019;MT bom , explica tudo;
Marilis Bento;17 de outubro de 2019;Otima;
Denis Lima Da Silva;27 de maio de 2019;muito bom, o melhor cartão de credito👏👏👏;
LILIANE FIGUERÔA;24 de julho de 2019;Não está mais abrindo o aplicativo só diz erro tente novamente. Vou tentar desinstalar e instalar novamente.;
Gilmar Santos;4 de outubro de 2019;E bom;
Fernando Freitas;13 de agosto de 2019;App muito bom, mas fui fazer o cancelamento do SMS e o mesmo não o faz. Tive que ir numa loja para poder cancelar. ( se a função de cancelamento não funciona no app, não coloquem só para dizer que tem);
Claudiane Santos;18 de abril de 2019;Muito superficial as informações;
Leonardo Roger;25 de maio de 2019;mto bom app;
Rian Mendes Santos;9 de setembro de 2019;O App é bom, porém funções como cadastrar fatura etc...Não funcionam.;
PASTORA ANA PAULA NASCIMENTO;3 de junho de 2019;muito bom esse aplicativo;
João Paulo Silva de Souza;11 de agosto de 2019;Não está funcionando corretamente desde a última atualização. Já não consigo fazer mais nada pelo app. Qualquer função que tento utilizar retorna uma mensagem de erro. Se não cumpre o que propõe, então não tem serventia.;
Aline Lúcia de Paulo;8 de outubro de 2019;Eu quase nunca uso o aplicativo,costumo usar somente uma vez no mês para consultar a fatura e nessa única vez ele não funciona como deve,demora muito tempo para abrir, quando abre. Outro ponto negativo é a exigência com relação às atualizações, caso não as faça fico impossibilitada de usá -lo. Aja p…;
David Willer;18 de outubro de 2019;Ótimo mostra todos os gastos de forma detalhada, é simples e fácil de usar, muito bom recomendo.;
Daniela Dani;20 de setembro de 2019;MT bom;
Edson Ls Camaçari Ribeiro;2 de setembro de 2019;Bem prático e seguro....a opção de bloqueio temporário,gostei demais....e também aumento de limite automático.;
Thiago Carros;12 de junho de 2019;ótimo App parabéns;
Um usuário do Google;13 de dezembro de 2018;Não consigo me cadastrar na fatura digital;
Marco Resende;28 de julho de 2019;não consigo habilitar a fatura digital;
Dai Reese;2 de setembro de 2019;Pedi para não vir a cobrança de valor referente "envio de mens. Automática" e continua sendo cobrado. E a opção está desabilitada.;
Irani Gomes;4 de outubro de 2019;Muito bom;
Erika Santana;13 de outubro de 2019;Ótimo 🤗;
lucy ramos;13 de julho de 2019;ótimo eu adoro;
Júnior Santos;18 de junho de 2019;erro pra criar cartao virtual 👎🏼;
Um usuário do Google;18 de dezembro de 2018;Eu adoro . tudo muito bem detalhado 👏🙂 ótimo;
Iara Costa;23 de julho de 2019;app bom...mas deveria ter a funcao de pedir aumento no limite sem precisar ir a loja;
Joelma Pinheiro;7 de outubro de 2019;Tá sendo muito bom;
julianna freitas;7 de junho de 2019;otimo para acompanhar os gastos;
Gleberty Ferreira;29 de agosto de 2019;Que raiva o app pediu uma atualização e eu nao estou conseguindo baixa;
Edna Souza;3 de setembro de 2019;Dei cinco estrelas porq é muito bom;
Flávia Morais;8 de abril de 2019;facilita muito, até agora não tive problemas.;
Vanece Cardoso;2 de junho de 2019;muito bom adorei;
Elizeu Jaime Martins Chiogna;20 de junho de 2019;Gostei. Tentei gerar um cartão virtual várias vezes e não consegui. Acho que essa funcionalidade não funciona apesar da idéia ser muito boa.;
Marcela Carvalho;29 de agosto de 2019;muito bom, facilita bastante;
Lucas Maicon;30 de junho de 2019;Demora demais para Atualizar;
Binho Costa;6 de junho de 2019;Muito bom ! liberou um bom limite.;
Bruna Oliveira;15 de outubro de 2019;Acho meio confuso e fora de ordem as funções do aplicativo.;
cérebro de aço;1 de outubro de 2019;Top muito m obrigado por nos dar um app tão filé pra controlar meus gastos no cartão e ver meu limite etc...;
Alef Silva;19 de setembro de 2019;Muito bom;
Jeferson Andrade;8 de junho de 2019;otimo app ,ajuda muito e tem como saber as comprar e muito +++;
Malu Carvalho;19 de junho de 2019;MT bom poder controlar nossa fatura super recomendo;
José Antônio Da Silva Nascimento Leite;2 de maio de 2019;ótimo, simplesmente amo esse App!!!;
Natanael Sena;8 de agosto de 2019;não tem atendimento virtual;
Osvaldo Cardoso Bianco;9 de setembro de 2019;Recomendo pra toda mais a anuidade do cartão nao deveria existir;
Hadriano Gomes;19 de setembro de 2019;Muito bom ajuda muito;
Um usuário do Google;18 de dezembro de 2018;gostei muito do apricativo esta de parabéns.;
Maria Aparecida;19 de setembro de 2019;E App facilita em suas conferências diárias e e bem mais fácil de pagar o boleto. Estou amando ele.;
Julio Cesar Barros;1 de outubro de 2019;Ótimo;
Lauara Monseur;20 de julho de 2019;Sim. muito prático e ágil;
Luciene Rocha;27 de agosto de 2019;Ótimo;
Jurema Lima;22 de julho de 2019;muito bom esse aplicativo tudo bem declarado meus gasto;
