Edson Silva;22 de outubro de 2019;Mesmo problema relatado por varios outros aqui. Houve mudança no número do meu cartão e desde então NUNCA mais pudi utilizar o app. No app fica apenas o número antigo e não consigo trocar. Acabei de ligar para central tal como ja fiz em várias outras vezes e a resposta sempre a mesma: App em manuten…;
Lucas Miranda;10 de outubro de 2019;Aplicativo péssimo, há 4 meses me mandaram um novo cartão, e desde então não consigo utilizar o aplicativo, pois está com a numeração do cartão antigo. Liguei inúmeras vezes para a central para tentar solucionar o meu problema, que aparentemente é fácil, mas sempre passam a informação que o sistema …;
vancledson nunes;7 de outubro de 2019;O aplicativo em si não é tão ruim, poderia ter mais acesso a outras funcionalidades realmente, mais vou deixar nas três estrelas por minha total indignação para o sistema do banco e do cartão em demorar para fazer o reconhecimento do pagamento, muito demorado mesmo pagando pelo próprio aplicativo do…;
MiGueL Araujo;2 de outubro de 2019;Como um app de Cartão de Credito nao tem informação sobre a data de fechamento da fatura? Nao tem a opção de imprimir uma nova via sendo encaminhada por boleto? Muito incompleto e falta muita qualidade. Deixa muito a desejar. As informaçoes sobre as compras nao estão exatamente completas. Nao aparec…;
Silvana de Jesus Lopes;27 de julho de 2019;Estou sem visualizar meu novo cartão Casas Bahia Bradescard, o antigo expirou em Março e desbloqueei o novo em Abril. Sempre utilizei o app para controlar meus gastos. Ligo no atendimento ao cliente e dizem que o app está com problemas. Quando vão solucionar o problema do app?? Já estamos em 27/07/2…;
Niobe Rego;7 de outubro de 2019;Deveriamos poder imprimir o extrato para pagto em PDF ou pagar diretamente pelo aplicativo do banco do titular do cartão. É um absurdo nos dias de hj, termos q enfrentar filas enormes nas Casas Bahia pra emitir um simples boleto e depois outra fila absurdamente enorme e parada, com um único guichê, …;
Victor Salles;5 de outubro de 2019;Pessimo,Pior aplicativo de cartao que eu ja vi,atraves do aplicativo nao da pra imprimir boleto, nem como converter por pdf, é muito limitado nao da pra fazer muita quase nada atraves do aplicativo, ou seja, so serve para ver limite e extrato, nao é como os outros aplicativos de cartao, assim noa ob…;
Aline Anjos;2 de outubro de 2019;Já tem meses que não funciona o App, eu instalo e desinstalei pra ver se melhora e nada. Nem o cartão novo que eu recebi aparece, não aparece informações mais. A central informa que está em manutenção. Essa manutenção não acaba nunca. Isso é um descanso com os usuários.;
Felipe Rodrigues;11 de setembro de 2019;O App eu ainda não tive problemas, mais queria muito que tivesse a opção para poder baixar e imprimir a segunda via do boleto, já que o mesmo nunca chega em dia e acabo pagando quase sempre com juros. as lotéricas não ajudam, não aceitam código copiado ai fica difícil ficar com a conta em dia. Uma s…;
Daiane Souza;30 de setembro de 2019;A minha experiência com esse aplicativo é péssimo já perdi a conta de quantas vezes Liguei na central explicando que o aplicativo não funciona troquei o cartão e o aplicativo não atualizou o cartão novo só mostra os cartões velhos o novo não ligo faço todo procedimento que eles falam e mesmo assim n…;
Gabriela Guimaraes;18 de outubro de 2019;Eu não sei o que está acontecendo pois já tentei baixar o aplicativo 8 vezes e só da ação bloqueada,está muito difícil eu ter q ir p outra cidade na loja pagar,pois já faz 3 meses q o boleto não chega na minha casa e tenho q ir pagar em outra cidade,vcs poderiam por favor me dizer o pq?;
Liliy Freire;1 de outubro de 2019;Não passa da segunda tela,não consigo me cadastrar,ligo na central e falam que o app ta com problema,pra eu tentar mais tarde,isso a dois dias. qdo vcs vão solucionar isso?? Várias pessoas com o mesmo problema e vcs não conseguem dar uma solução. ATÉ HOJE SEM SOLUÇÃO.;
Priscila Leal;23 de setembro de 2019;Deveria ter opção para alteração de cartão através do app, eu perdi o meu cartão e o novo tem outra numeração, porém no aplicativo ainda consta o antigo e não consigo mudar. Editando: estou a 24 dias enviando e-mail com os dados que pedem e eles respondem o mesmo e-mail pedindo dados, e nada de reso…;
Rafael Fael;16 de setembro de 2019;Incompleto ! Falta muitas funcionalidades ! Exemplo 2° via de boletos por e-mail! Com os correios em greve já deveriam ter pensado nisso a muito tempo ! Se você quiser uma segunda via tem que liga para la espera a boa vontade de ser atendido ! E se tiver você tiver a sorte do boleto está disponível …;
julio almeida;19 de setembro de 2019;Boa tarde! O aplicativo não é ruim, porém precisa de alguns ajustes. Existem outros aplicativos de cartões de crédito bem mais completos como por exemplo: o Cartão Carrefour, o Cartão Atacadão, etc.. Peço humildemente aos desenvolvedores do aplicativo Cartão Casas Bahia que façam esses ajustes, pois…;
Dri Ramos;27 de setembro de 2019;Estou há meses sem acesso ao aplicativo já liguei por diversas vezes e todas tentativas frustradas por uma resposta ou solução que me ajude. A desculpa é sempre a mesma o aplicativo está em manutenção.É inaceitável possuir um cartão onde não nos permite ter acesso e controle de nossos gastos.;
leonardo silva;7 de agosto de 2019;Sinceramente e com todo respeito e educação, tá bom de inventarem um App mais eficiente, pois desde a chegada da segunda via do meu Cartão Casas ( isso foi ha vários meses atrás) eu não consigo acessar absolutamente nenhuma informação do mesmo, toda vez que precisa tenho que ligar no número que fica…;
Daniel Martins;1 de agosto de 2019;Necessito do app para poder estar verificando o andamento da minha fatura, transações, pagamento, limites e há meses que o app não funciona, nada aparece, não consigo acessar nenhuma informação do cartão, a não ser ligando para a Central de Atendimento que é muito mais demorado e exaustivo. Uma pena…;
Lucy Rodrigues;12 de outubro de 2019;Desde quando troquei meu cartão de crédito, q n consegui mais acessar meu aplicativo... Eu já liguei várias vzs na central de atendimento pra resolverem isso , e me dizem q não tem previsão pra resolver... Assim fka difícil,pois todo mês tenho q ligar pra solicitar o código de barras da minha fatura…;
Lucinéia Ribeiro;15 de setembro de 2019;Eu estou com problema com o app faz uns seis meses. Já fiz reclamação por aqui,via e-mails,e nada de solução pro meu problema. O cadastro/conta do meu cartão quando é acessada de qualquer dispositivo fica piscando o tempo todo e até trava os dispositivos. Identifico com isso que o problema está só n…;
Renata Nayara;30 de setembro de 2019;O aplicativo é bom para ver seus saldos, fica por dentro das parcelas, mais o chato que não gera boleto, isso complica muito, porque os Correios não vem deixar antes da data do pagamento, aí atráza e acha que é nossa culpa, mais se tivesse no aplicativo ajudaria muitos nos pagamentos.. só não vou dá…;
Jarlete Dantas;18 de outubro de 2019;O aplicativo era bom porém de uma hora pra outra ele não funciona mais, já disistalei e instalei e não consigo entrar já liguei na central de atendimento do cartão e nada foi resolvido a atendente falou que fez todos os procedimentos e que não poderia fazer mais nada .;
Renan Luna;14 de agosto de 2019;Acabei de ligar para a Central e informar o problema q o App tem quando é preciso cadastrar um novo cartão... uma vez que todos os cartões terão sua data de validade expirada. E fui informado q qdo o problema for resolvido ficará disponível no App a função. "É só eu ficar acessando o App pra saber" …;
Patricia de Paula Ferreira;6 de setembro de 2019;Funcionava muito bem, mais já tem mais de 30 dias que parou não mostra mais nada e toda vez que ligo na Central de atendimento falam que está em manutenção mais nunca termina essa manutenção. Desde o dia que me pediram para mandar as informações por email eu mandei,mais meu aplicativo continua sem f…;
Yuri Henrique;8 de setembro de 2019;O aplicativo vinha desenvolvendo vários problemas, não permitia o acesso e dizia que a senha estava errada mesmo com a senha correta. liguei para central de atendimento do cartão e cliquei na opção (aplicativo Casas Bahia) e fui super bem atendido. A atendente enviou um código de confirmação para o …;
Getulio Rosalvo Rosalvo;6 de setembro de 2019;Péssimo! Estou a meses sem acesso ao aplicativo, não consigo ver minhas faturas, data de fechamento. Minha fatura não chega em casa entao o meio de conseguir visualizar as comprar detalhadas seria através do aplicativo. Já mandei e-mail, liguei, pedi para a responsável (titular) do cartão entrar em …;
Jefferson Ferreira;14 de setembro de 2019;Aplicativo longe de ser bom ,informações não são claras, código de barras aparece so a imagem sem a numeração, não tem opção de segunda via por email ou qualquer outro meio, além de não apresentar opção pra detalhar ou baixar a fatura como se fosse realmente a carta quando chega na residência. Ainda…;
Aparecida Oliveira;21 de setembro de 2019;Já tive problemas com o aplicativo durante um ano e mais uns meses pelo meu cartao novo. So apareceia o numero do velho mas graças a Deus tudo arrumado. Ótimo aplicativo e cartão. Só nao gosto por ter anuidade. Pois ja tem muitos cartões que não pagam anuidades. Esse é o problema do cartao Casas Bah…;
Fernanda Mazzoni;7 de agosto de 2019;não consigo obter nenhuma informação no app, ja mandei um feedback p o email e nadaa! dia todo tentando acessar e bloqueiam a senha, fica dificil pq a processadora não manda fatura e sem as informações do app como pagar? só enfrentando as atendentes despreparadas e mal educadas da fidelity p tentar …;
Renan Almeida;29 de julho de 2019;Troquei o meu cartão a mais de 3 meses e o aplicativo ainda não reconhece o meu novo cartão ainda aparece o antigo, ja liguei para o sac eles disseram que ia demora uma semana, e já se passaram 2 meses, muito o aplicativo e ótimo, porém deveria ter a opção do usuário trocar o número do cartão ou esc…;
Aline Barros;24 de agosto de 2019;Bom dia preciso incluir um novo cartao ,o app so mostra dois cartoes qye eu tive anteriormente, preciso atualizar para um terceiro cartão que é meu atual. certo, não entrou automático, vou entrar em contato via e-mail. Bom dia faço uso do cartão BradesCard casas Bahia , uso o aplicativo , porém não …;
RENATO H. FOSCHI OLIVEIRA;13 de agosto de 2019;O aplicativo parou de funcionar ha um mês, fica piscando, já desinstalei e instalei novamente e continua do mesmo jeito. Também já instalei em outro celular e o problema é o mesmo ... não tem como utilizar e nem como fechar o aplicativo, preciso forçar o fechamento para que eu possa voltar a usar m…;
GILSINHO GONÇALVES;24 de agosto de 2019;Meu aplicativo não funciona, pago um absurdo de anuidade, e não tenho nem um aplicativo funcional, já mandei vários e-mails e não resolveu unada, simplesmente estou sendo ignorado, e pagando anuidade, nem vem pedir pra mandar email, pois já mandei vários e-mails, acho que a solução é mudar de cartão…;
felipe lipe;25 de setembro de 2019;Muito ruim. Eu baixei o a aplicativo a três semanas e não consigo acessar não dá pra ver saldo estratos código de barra nada. Já liguei várias vezes na central já mandei email e ninguém resolver o problema. Se continuar assim vou cancelar o cartão....;
Silvester Souza;3 de outubro de 2019;A mais de 1 ano esperando atualizar o cartão novo. Toda vez que preciso retirar a fatura eu preciso ligar e anotar cada número do código de barras para fazer o pagamento. É muita inconveniência para um aplicativo simples de emissão de boletos.;
Juliana Silva;7 de agosto de 2019;É ridículo eu ter cancelado o cartão, ja estar com o atual em mãos a mais de duas semanas e no app continuar o cartão antigo, e o pior é que assim não consigo acompanhar a fatura nem nada. E quando liguei na central, me falaram que não dá para alterar, que muda sozinho. Decepcionante o atendimento e…;
Rafael Sá Jacques;18 de agosto de 2019;Não aparece nenhuma informação depois que eu faço login no app. Nao consigo ver fatura, extrato, codigo de barras, limites... nada funciona. Tanto no meu Pocophone quando pelo BlueStacks no PC. Para saber mais sobre meu cartão eu preciso voltar a 1945 quando as pessoas ligavam para as operadoras de …;
Michelly Anjos;2 de outubro de 2019;Esse aplicativo deixa muito a desejar ,pois n dá pra ver as contas que tem nele só o valor total na minha opinião deveria ter tds as compras que faz e parcela pra termos uma base do que se trata. Tem coisas desnecessário tipo cód de barra e nenhum banco recebe traves de cód de barra acho que o que f…;
Jorge Luiz;29 de julho de 2019;péssimo , deste que chegou o meu novo cartao nao consigo visualizar mas nada do meu cartão no aplicativo ,fico totalmente sem controle , ja liguei várias vezes e nada de atualizarem o meu novo cartão no aplicativo dizem que o aplicativo esta com problemas e sem prazo para a normalidade mas na realid…;
Raquel Lima;8 de agosto de 2019;Horrível! Não aparece as compras no extrato e não dá para visualizar o código de barras, ou seja, tem que ficar esperando a fatura chegar em casa, depender da boa vontade da administradora de cartões enviar para o Correio. Espero que consertem logo! A anuidade é muito cara para um aplicativo tão rui…;
