Gustavo Orechio;27 de setembro de 2019;Excelente App, mas oq está acontecendo que não consigo mais acessar o App?;
Thália Santos;13 de fevereiro de 2019;Já fiz a atualização e continua aparecendo a mensagem informando que a "versão do aplicativo não suportada". App não abre!;
RAFA GAMER;21 de setembro de 2019;Depois da Atualização nao consigo entrar mais no Aplicativo;
Tamires Teixeira;17 de junho de 2019;a versão antiga tinha as opções mais fáceis de entender, essa última versão ficou meio confusa e algumas funções não estão funcionando.;
Um usuário do Google;26 de janeiro de 2019;o app sempre funcionol corretamente, agora não abre mais em meu celular fica a tela toda branca.;
Filipe Sousa Graphic Desinger;16 de abril de 2019;suporte não existe: tento resolver a 4 dias via chat do App, mas não existe conversa com a I.A, telefones, email de suporte e até pagina do Face não retornam com nenhuma ajuda. problema de bugs persistentes no App a cada atualização: os valores de saldo com débito se misturam, digio card nã carrega.…;
Minoro Ueda;8 de setembro de 2019;Ótimo aplicativo, e agora tem sistema de pontos;
Um usuário do Google;27 de setembro de 2018;Gostei muito do app é rápido e prático. Quero aproveitar as vantagens do meu digio.;
Dirce Abreu;27 de fevereiro de 2019;começou travar,dando mensagem que temos que atualizar mas já foi atualizado não consigo fechar o aplicativo por conta disso;
Francisco Junior;15 de dezembro de 2018;até agora experiência muito boa em tudo. cadastro compras pagamento. Vamos continuar usando para ver as avaliações. demoro 4 dias para aparecer o novo formato. particularmente pra mim está muito bom estou gostando muito do cartão. parabéns DIGIO.;
Jarbas Juliano;7 de setembro de 2019;Bom cartão de crédito, aplicativo intuitivo e possui bom atendimento.;
Janielen Fonseca;4 de agosto de 2019;Estou amando o meu cartão de crédito Digio ❤ Me deram um limite inicial maravilhoso!!! 😍;
Thais Farias;15 de outubro de 2019;Cartão em se bom ,em compensação aplicativo muito ruim ,trava você não consegue gera o boleto ..;
Matheus Suvobida;16 de janeiro de 2019;Muito decepcionado! Depois da atualização a interface ficou muito confuso e o aplicativo apresenta bugs críticos, realizei o pagamento da fatura de janeiro e o aplicativo reconheceu como pagamento da fatura de feveiro que ainda nem havia fechado, deixando a fatura de janeiro em aberto oque gerou o b…;
Pakiton Hard;9 de outubro de 2019;Galera estou aqui mais não é pra reclamar do aplicativo mais sim do banco porque estou com problemas para acessar minha conta tentei redefinir a senha mais também não deu certo aii entrei em contato com eles e a atendente desligou na minha cara atendimento horrível;
Daiany Padilha;30 de novembro de 2018;Sensacional! Só tenho a dizer que ele é excelente. O App é completo e muito fácil de usar. De início me liberou um bom limite. E o cartão e simples e bonito;
Priscila Prestes;19 de setembro de 2018;Olá, Demora na entrega do cartão. Já passou do prazo de 12 dias úteis, ao questionar sobre no chat, dizem que estão com problema no rastreamento o mesmo ainda consta como sendo confeccionado. Lendo aqui os comentários, desanimei!;
Um usuário do Google;10 de outubro de 2018;Fácil de usar, layout moderno e atraente;
Um usuário do Google;13 de fevereiro de 2019;Olá, bom dia. Depois da última atualização, não consigo entrar no app, diz que a versão não suporta e pede para atualizar.. Como devo proceder para resolver esse problema? . Agradeço.;
Mizael Carvalho;27 de novembro de 2018;Um dos melhores, chegou rápido e utilizo como meu principal, só queria que fosse possível adiantar parcelas :);
