To Silva;4 de junho de 2019;muito bom mesmo....;4
Cassio Lima;17 de julho de 2019;NÃO FUNCIONA MAIS.;2
Maria Costa;13 de outubro de 2018;Funciona perfeitamente, nenhuma dificuldade de acesso. Está ótimo esse aplicativo!!;4
Estefany Barbosa;4 de agosto de 2019;achei excelente, tenho como controlar meus gastos 👏;4
Dolores Veras;29 de agosto de 2019;E muito bom porque vc ja fica sabendo o valor da sua fatura;4
Jose Luiz;30 de julho de 2019;até agora está tudo bem... estou gostando, obrigado.;4
Reginaldo Oliveira;30 de maio de 2019;Nota 10 para o cartão Hipercard.;4
Alexandre Dias Avila;3 de dezembro de 2018;Ótimo aplicativo para gerenciar a fatura!;4
Éder Luís Pereira;3 de abril de 2019;Não localizei como imprimir uma fatura.;3
Sandra Lopes;7 de junho de 2019;Otimo atendimento,com muita agilidade.;4
Celso Carlos Campos;30 de maio de 2019;Boa e simples;4
Denice Barbosa;6 de junho de 2019;muito bom adorei;4
Valeria P D;8 de agosto de 2019;muito bom e prático.;4
Ivonete Rosa;8 de agosto de 2019;aplicativo muito bom!;4
Thiago Henrique;3 de agosto de 2019;muito bom mesmo;4
Sandra Ribeiro;19 de janeiro de 2019;horrivel.é a segunda vez que tento usar e quando coloco a senha e acessar sempre da erro.....nem consigo usar;2
Kelli Johannsen;26 de julho de 2019;Toda vez que o app é iniciado, é questionado se quero ser notificado e escolho Não. e mesmo assim o questionamento permanece.;1
Sandro Santos;27 de junho de 2019;bom, gosto muito..;4
Canal X tudo;27 de agosto de 2019;Muito útil no meu dia a dia;4
Edmilson COELHO DANTAS;22 de maio de 2019;estar ótimo o aplicativo. muito bem resumido fácil de entender, agente acha que vai gastar mais tempo e no final anda bem rápido;4
Um usuário do Google;28 de dezembro de 2018;precisa a melhorar;1
Barbeiro sincero;10 de setembro de 2019;Ótimo para controlar as suas despesas seu limite etc aplicativo Roda legal e não trava;4
Paula Jamila;29 de maio de 2019;o melhor ,facil manuseio;4
Milton Giordano Montanha;26 de junho de 2019;muito bom, auxilia no uso;4
Teo Balada;1 de agosto de 2019;quero que aumente o meu limite;3
Melissa Rodrigues;5 de setembro de 2019;Tem tudo o que preciso;4
Rael Silva;10 de julho de 2019;atualizado ficou muito bom;4
Flavio Francisco;4 de março de 2019;munto bom agente fica bem informado sobre todas as compras qui estiverem sendo feita no momento...vcs estão de parabéns obrigado.;4
Mari Mari;14 de julho de 2019;foi o melhor aplicativo amei esta de parabéns;4
Tânia Celeste Alves Reis;28 de maio de 2019;Bem melhor que antes qdo recebia fatura via Correio;4
Anderson laureno clementino;1 de abril de 2019;Não estou conseguindo cadastra o celular pra receber notificações. Sempre dar erro;3
Lenir Pereira de Brito;5 de julho de 2019;o app não está mais funcionando;3
Auxeliadora Maria;2 de setembro de 2019;Excelente;4
AMANDA CAUPONI;14 de agosto de 2019;muito eficiente, prático, top;
Um usuário do Google;14 de março de 2019;o app nunca mais funcionou. já desinstalei e instalei novamente mas dá erro quando vou acessar. arrumem isso por favor.;
elias junio;5 de janeiro de 2019;so da tente novamente e ocorreu erro tanto no tablet como em meu aparelho celular .;
Cristiano Nogueira;23 de julho de 2019;Nãoo abre/baixa o PDF da fatura, sempre diz que o tempo expirou. Tem muito o que melhorar.;
Wellen Maria;20 de setembro de 2018;Não gostei fica dando erro toda vez que vai abrir o App;
Marlicoleone Coleone;26 de julho de 2019;Muito bom TOP posso controlar todos gastos...;
Adeilda Lima;20 de março de 2019;Não estou conseguindo abrir o App;
Jurandir Arruda;30 de maio de 2019;muito bom gostei;
Um usuário do Google;4 de janeiro de 2019;Gostei do App pq através dele fico sabendo o que eu comprei e o que vou pagar.;
Suely Martins;12 de agosto de 2019;simples, prático e funcional. Contudo, é necessário reparar o erro no setor de cadastro. Já tentei atualizar meu cadastro, optar pela fatura digital mas não logrei êxito. Entrei em contato com suporte via e-mail, expliquei o problema, fiz prints das telas de erro e nao obtive solução. Apenas a confi…;
Daniel moura;24 de maio de 2019;ótimo APP, excelente atendimento.;
Aderail Simioni;15 de junho de 2019;Muito bom controlar todos os gastos pelo aplicativo! Adorei!!;
Francisco Barbosa;29 de maio de 2019;Muito bom me deixa informado de todos os meus movimentos e compras;
