Ricardo Ribeiro;16 de outubro de 2019;Aplicativo lixo! Só funciona quando estamos no banco! Editando minha avaliação: Se previssar de um banco ruim esse não serve, porque é mais que ruim! É péssimo sem medidas! Lixo de aplicativo, lixo de atendimento! Só dou uma estrela pq não tem como dar 0.;
KARLA MOREIRA;14 de outubro de 2019;Otimo app, mas tem 1 porem... dificulade de sair da conta. Tem que ter um botao sair pra ficar top. Depois desta resenha, encontrei o "sair". Agora, o que houve com a autenticaçao por digital? Sumiu depois das ultimas atualizaçoes!;
Thiago Ferreira;14 de outubro de 2019;Fui tentar usar o teclado Itaú agora e ele não abre e aparece um erro do Android dizendo que foi fechado. Tentei desabilitar e habilitar de novo, reiniciar o celular, etc.. nada feito.;
Alceu Silveira Cardoso;15 de outubro de 2019;Poderiam melhorar as telas do DDA. Quando faço um agendamento de pagamento de um título de DDA, se eu entrar na tela novamente, não tem nenhum indicador que o título já está agendado. Só vou saber se tentar agendar novamente, ai o app da erro dizendo que já está agendado. Outro ponto é a consulta de…;
Gustavo Alves;12 de outubro de 2019;App bom, mas retiraram suporte de login por digital, ao menos para meu aparelho (zenfone 4). Podia mostrar também o valor do saldo com os lançamentos futuros, como faz o app de santander. Tentei o dia inteiro o deposito de cheque por foto, mas mesmo seguindo rosas as instruções, não consegui. Desist…;
Emerson Cangiani;15 de outubro de 2019;App fácil de usar, mas as práticas do banco deixam a desejar, foi liberado em minha conta um empréstimo que não solicitei, no mesmo dia em que recebo meu adiantamento de salário, o que poderia me confundir e fazer usar este valor creditado sem minha autorização. É uma pena ver e sofrer esse tipo de …;
Márcio L Bertoldo;12 de outubro de 2019;O aplicativo do Banco Itaú é excelente, oferece facilidade para desenvolver as operações, o visual do App é muito bonito e prático. Com as últimas alterações para processamento de pagamentos de fatura do cartão de crédito, atingiu o ápice, é instantâneo, fiquei impressionado, apareceu imediatamente …;
ROGERIO DOS SANTOS Santos;1 de outubro de 2019;Muito dificultado . Em abas partes ajuda muito é um banco em minhas mãos. As opções poderia ser melhoras e acessíveis para uso . Ter opções de uso mais simples e de fácil entendimento muitos não só com o eu reclamam q não conseguem fazer uma transação devido a falta de dificuldades de opções no YouT…;
Isadora Torres;15 de outubro de 2019;Decepcionante, apesar de boa qualidade como banco "fisico", no mundo virtual deixa muito a desejar. Como vão competir com os bancos Digitais? Se seus atendimentos virtuais são além de exaustivo na busca por solução, ainda por cima não dão solução, ocasionando, perca de tempo, transtornos e no fim o …;
Jonas Lambrecht;16 de outubro de 2019;O aplicativo é bom, tem várias funções, porém tem um problema já a algumas versões que é a leitura de código de barras de convênios, por exemplo da Vivo, não consigo pagar via leitor, somente digitando o código. Só no App do Itaú da esse erro, nos aplicativos de outros bancos lê normal.;
Francisco Reis;2 de outubro de 2019;Falta uma função essencial nesse app, cadastrar o Itaucard em débito automático, aí vc tem conta corrente e cartão de crédito do próprio banco, mas não pode colocá-lo em débito automático porque falta essa opção no programa. Cadê a facilidade , se tenho que ir até uma agência? Na hora de debitar os …;
