Um usuário do Google;5 de fevereiro de 2019;vendedora ambulante gostaria muito te esse cartão de crédito;
Evelin Barcos;30 de maio de 2019;começando a usar e até agora tudo ok... embora alguns dias tive problema com o app.;
Sheila Marçal;25 de setembro de 2019;Atendimento e prontidão mtooo bom. P ficar excelente só precisa liberar o crédito.;
Wellinton Pawelski;27 de outubro de 2018;O app é bom mas toda vez q vou entrar fica dando senha bloqueada e tem q ficar tirando foto e da erro um lixo msm .... Se puderem arrumar agradece ai;
Leandro Marques;17 de julho de 2019;tento pedi meu cartao de crédito e nao vai , tento tranferir e tambem nao vai , se for so pra ter um cartao de débito ficaria so com o meu do outro banco;
LUCILEIDE LIMA DANTAS;6 de setembro de 2019;Amei atende minhas expectativas agora espero q abra a opcao credito preciso muito 🙌;
Cledson Cardoso;11 de dezembro de 2018;Minha selfi senha não quer me reconhecer isso que o app "tinha melhorado a interface de reconhecimento facial", mas acho que não em.;
DIEGO MOYA MARÇAL;23 de outubro de 2019;Show..muito top esse cartão virtual.., estão de parabéns;
Marcos Antonio Freitas Costa;16 de junho de 2019;camioneiro a38 anos viajando;
Leonardo Araújo Araújo;25 de julho de 2019;Porque parou quando eu tiro a foto;
Pedro Neto;22 de fevereiro de 2019;Aplicativo muito bom! Precisa melhorar apenas a questão de avaliação de crédito.;
Viviane Matos;8 de novembro de 2018;Aplicativo fácil de usar e muito útil.;
Wenderson De paula;2 de setembro de 2019;Ótimo cartão chegou dentro do prazo programado.;
Evodio Neuber Esteves Faria;12 de abril de 2019;a gente não. consegue cartão. de crédito. só fala q a gente tem q cumprir várias etapas até mesmo ser obrigado indicar a alguém, poupança,investimento etc;
Ronaldo Melo;12 de fevereiro de 2019;Só precisa fazer um pequeno ajuste: o app não está conseguindo achar a localização da compra, apesar de a permissão está on.;
Darliê Lima;9 de agosto de 2019;App excelente e de fácil manuseio;
batera gt;22 de julho de 2019;eu formatei meu celular e a conta neon nao nao entra mais ai mando msg a neon fala que ta tudo normal mais nao esta nao to tentando baixar de novo pra pagar minha fatura alguem pode me ajudar;
robertodeafogados;4 de maio de 2019;por enquanto tudo certo! quero experimentar mais pra poder dá 5 stars!;
Kelly Simone;4 de janeiro de 2019;Excelente. Abri a conta em 15 min fui aprovada solicitei o cartao de crédito e em apenas 24 hrs recebi a proposta aprovada. Parabéns Neon precisamos de uma empresa assim que não nos deixe esperando muito. Se alguém se interessar pode colocar meu código KELLY14370 .🤝;
Ramon Aires dos santos;8 de maio de 2019;conta digital mais top do mercado;
